,0,1,symptom_name_raw,symptom_name_formatted,category
0,-3.1602235,-3.6002555,cough,Cough,Lower respiratory tract
1,-3.0774186,-3.1910768,fever,Fever,Systemic
2,-2.705404,-0.5829787,altered_consciousness,Altered conciousness,Altered state
3,-3.3703544,-1.793203,diarrhoea,Diarrhoea,Gastrointestinal
4,-3.8273978,-3.131883,fatigue,Fatigue,Systemic
5,-4.567899,-4.3150797,headache,Headache,Systemic
6,-4.72452,-3.2879646,joint_pain,Joint Pain,Systemic
7,-3.9063838,-2.5389602,loss_of_appetite,Loss of appetite,Gastrointestinal
8,-4.043107,-4.261746,muscle_ache,Muscle ache,Systemic
9,-3.803508,-1.7722919,nausea,Nausea,Gastrointestinal
10,-2.2775655,-0.43668643,nose_bleed,Nose bleed,Other
11,-2.0964477,-0.8285547,rash,Rash,Other
12,-5.2882504,-4.668637,runny_nose,Rhinitis,Upper respiratory tract
13,-1.7398058,-0.34919792,seizures,Seizures,Altered state
14,-4.999149,-4.991632,sneezing,Sneezing,Upper respiratory tract
15,-4.444882,-4.9629993,sore_throat,Sore throat,Upper respiratory tract
16,-3.2231965,-1.0316274,vomiting,Vomiting,Gastrointestinal
17,-4.166349,-3.8315754,loss_of_smell_or_taste,Loss of smell or taste,Upper respiratory tract
