,0,1,symptom_name_raw
0,9.595894,1.6327707,cough
1,5.825047,4.1806636,fever
2,2.228675,2.8339832,altered_consciousness
3,3.2326736,3.3583694,diarrhoea
4,4.7952776,4.3985643,fatigue
5,8.899383,1.6916411,headache
6,5.757645,4.7431107,joint_pain
7,4.2806554,4.1061683,loss_of_appetite
8,5.415489,4.6554704,muscle_ache
9,3.088699,2.7417955,nausea
10,3.8624198,2.4522028,nose_bleed
11,2.0648968,3.1007006,rash
12,-8.502959,-3.0027597,runny_nose
13,1.8295426,2.5640657,seizures
14,-8.622534,-3.120536,sneezing
15,9.132754,1.2257016,sore_throat
16,3.6757681,2.6862426,vomiting
17,9.072793,2.1120548,loss_of_smell_or_taste
