,0,1,symptom_name_raw
0,-4.260307,-1.5985371,cough
1,-3.7674696,-1.7628683,fever
2,-1.9913092,-2.7502427,altered_consciousness
3,-1.623156,-1.7069058,diarrhoea
4,-3.4112394,-1.1136625,fatigue
5,-4.9699965,-1.1904007,headache
6,-4.360564,-0.96244454,joint_pain
7,-2.0992937,-1.2404766,loss_of_appetite
8,-4.740966,-1.8352817,muscle_ache
9,-1.2666845,-1.3103458,nausea
10,-1.5123485,-2.7339582,nose_bleed
11,-1.4227096,-3.2226787,rash
12,-5.957563,-0.7864094,runny_nose
13,-1.9880861,-3.3202536,seizures
14,-5.743648,-1.1219742,sneezing
15,-5.2404685,-0.74906653,sore_throat
16,-1.0922275,-1.7596188,vomiting
17,-2.66328,-1.1484361,loss_of_smell_or_taste
