"","subset$age_85","unity"
"1",2,17
"2",3,30
"3",4,21
"4",5,26
"5",6,26
"6",7,38
"7",8,51
"8",9,46
"9",10,52
"10",11,86
"11",12,83
"12",13,90
"13",14,113
"14",15,125
"15",16,114
"16",17,111
"17",18,94
"18",19,111
"19",20,102
"20",21,113
"21",22,101
"22",23,90
"23",24,100
"24",25,98
"25",26,107
"26",27,116
"27",28,120
"28",29,159
"29",30,129
"30",31,118
"31",32,116
"32",33,172
"33",34,153
"34",35,132
"35",36,142
"36",37,150
"37",38,163
"38",39,141
"39",40,149
"40",41,176
"41",42,164
"42",43,154
"43",44,161
"44",45,165
"45",46,180
"46",47,163
"47",48,209
"48",49,225
"49",50,179
"50",51,188
"51",52,199
"52",53,190
"53",54,188
"54",55,175
"55",56,176
"56",57,208
"57",58,179
"58",59,145
"59",60,153
"60",61,118
"61",62,159
"62",63,125
"63",64,136
"64",65,101
"65",66,105
"66",67,86
"67",68,95
"68",69,75
"69",70,75
"70",71,82
"71",72,75
"72",73,78
"73",74,79
"74",75,42
"75",76,30
"76",77,37
"77",78,33
"78",79,21
"79",80,23
"80",81,22
"81",82,22
"82",83,12
"83",84,12
"84",85,41
