,sympt_now_fever,sympt_now_muscle_ache_myalgia,sympt_now_fatigue_weakness,sympt_now_sore_throat,sympt_now_cough,sympt_now_shortness_of_breath,sympt_now_headache,sympt_now_nausea_vomiting,sympt_now_abdominal_pain,sympt_now_diarrhoea,sympt_now_loss_of_taste,sympt_now_loss_of_smell
sympt_now_fever,0.0,0.6075621890547264,0.6213592233009708,0.707297187117815,0.6527799778235387,0.7472346434455166,0.6231514533401326,0.7744458930899609,0.8303097962601172,0.8318440292445166,0.744693513191827,0.7692460712154366
sympt_now_muscle_ache_myalgia,0.6075621890547264,0.0,0.456470189701897,0.6540509699505516,0.6012715712988193,0.6810363596777705,0.5141271442986882,0.7430619796484736,0.8058181818181818,0.8100400659910441,0.6691162615413605,0.7073762838468721
sympt_now_fatigue_weakness,0.6213592233009708,0.456470189701897,0.0,0.643029038986042,0.5299653979238754,0.6697067238912733,0.4577294685990338,0.7525622254758418,0.8354874446085672,0.8223443223443223,0.6406954282034771,0.6713074091854697
sympt_now_sore_throat,0.707297187117815,0.6540509699505516,0.643029038986042,0.0,0.6592222395751991,0.7469851576994434,0.6293565683646113,0.8115365489806067,0.854038100348806,0.8533402922755741,0.7506336517839735,0.7602373887240356
sympt_now_cough,0.6527799778235387,0.6012715712988193,0.5299653979238754,0.6592222395751991,0.0,0.7195803012354036,0.5702239424937794,0.8115371448134201,0.8678514868907268,0.8512613875262789,0.708019294543262,0.7319494584837545
sympt_now_shortness_of_breath,0.7472346434455166,0.6810363596777705,0.6697067238912733,0.7469851576994434,0.7195803012354036,0.0,0.723074179743224,0.7664808133814366,0.8191721132897604,0.8170347003154574,0.7402992052360916,0.7602173399480274
sympt_now_headache,0.6231514533401326,0.5141271442986882,0.4577294685990338,0.6293565683646113,0.5702239424937794,0.723074179743224,0.0,0.7617424242424242,0.8345254204523488,0.8359508041627247,0.6743506493506494,0.6955461638491548
sympt_now_nausea_vomiting,0.7744458930899609,0.7430619796484736,0.7525622254758418,0.8115365489806067,0.8115371448134201,0.7664808133814366,0.7617424242424242,0.0,0.7557974443918599,0.7620332883490778,0.7925006333924499,0.8104423868312757
sympt_now_abdominal_pain,0.8303097962601172,0.8058181818181818,0.8354874446085672,0.854038100348806,0.8678514868907268,0.8191721132897604,0.8345254204523488,0.7557974443918599,0.0,0.7607734806629834,0.8596303241360835,0.8667400881057269
sympt_now_diarrhoea,0.8318440292445166,0.8100400659910441,0.8223443223443223,0.8533402922755741,0.8512613875262789,0.8170347003154574,0.8359508041627247,0.7620332883490778,0.7607734806629834,0.0,0.8461538461538461,0.8574123989218329
sympt_now_loss_of_taste,0.744693513191827,0.6691162615413605,0.6406954282034771,0.7506336517839735,0.708019294543262,0.7402992052360916,0.6743506493506494,0.7925006333924499,0.8596303241360835,0.8461538461538461,0.0,0.3387353878852285
sympt_now_loss_of_smell,0.7692460712154366,0.7073762838468721,0.6713074091854697,0.7602373887240356,0.7319494584837545,0.7602173399480274,0.6955461638491548,0.8104423868312757,0.8667400881057269,0.8574123989218329,0.3387353878852285,0.0
