"","V1"
"sympt_now_fever",-0.178520733397104
"sympt_now_muscle_ache_myalgia",-0.415815053782096
"sympt_now_fatigue_weakness",-0.518820945538299
"sympt_now_sore_throat",-0.126081590509048
"sympt_now_cough",-0.099894466481014
"sympt_now_shortness_of_breath",-0.225696202950208
"sympt_now_headache",-0.275004549530839
"sympt_now_nausea_vomiting",-0.346962252725232
"sympt_now_abdominal_pain",-0.401767852432181
"sympt_now_diarrhoea",-0.247593720766978
"sympt_now_loss_of_taste",-0.136086047301578
"sympt_now_loss_of_smell",-0.109494247251358
