"","V1","V2"
"sympt_now_fever",-0.130813821493505,-0.113352729779673
"sympt_now_muscle_ache_myalgia",-0.340627616507731,-0.205214256007809
"sympt_now_fatigue_weakness",-0.486669094580092,-0.217507669462038
"sympt_now_sore_throat",-0.0931024927385449,-0.0629158993673389
"sympt_now_cough",-0.0703189987100647,-0.0843416020903612
"sympt_now_shortness_of_breath",-0.174848255733679,-0.0388676892799193
"sympt_now_headache",-0.205282813066415,-0.133280975302788
"sympt_now_nausea_vomiting",-0.2265022091298,-0.0915355620487932
"sympt_now_abdominal_pain",-0.45225128753498,-0.335646049438582
"sympt_now_diarrhoea",-0.169874002491618,-0.0877750746750757
"sympt_now_loss_of_taste",-0.424132169675313,0.577551887807682
"sympt_now_loss_of_smell",-0.281261852831299,0.636454690575936
