,sympt_now_fever,sympt_now_muscle_ache_myalgia,sympt_now_fatigue_weakness,sympt_now_sore_throat,sympt_now_cough,sympt_now_shortness_of_breath,sympt_now_headache,sympt_now_nausea_vomiting,sympt_now_abdominal_pain,sympt_now_diarrhoea,sympt_now_loss_of_taste,sympt_now_loss_of_smell
sympt_now_fever,0.0,0.7478260869565218,0.6754385964912281,0.7673611111111112,0.7277070063694268,0.8846153846153846,0.7013996889580093,0.8432304038004751,0.8765133171912833,0.9427860696517413,0.8562874251497006,0.8626692456479691
sympt_now_muscle_ache_myalgia,0.7478260869565218,0.0,0.6402714932126696,0.744920993227991,0.8011152416356877,0.7937743190661478,0.6978967495219885,0.8274647887323944,0.8475836431226765,0.9203187250996016,0.8096590909090909,0.8488063660477454
sympt_now_fatigue_weakness,0.6754385964912281,0.6402714932126696,0.0,0.6756756756756757,0.7224806201550388,0.8301435406698564,0.5924713584288053,0.8175519630484989,0.8601398601398601,0.9285714285714286,0.8111332007952287,0.8256704980842912
sympt_now_sore_throat,0.7673611111111112,0.744920993227991,0.6756756756756757,0.0,0.7123966942148761,0.8586118251928021,0.6683006535947712,0.8525798525798526,0.8844221105527639,0.9257294429708223,0.8208955223880597,0.81419624217119
sympt_now_cough,0.7277070063694268,0.8011152416356877,0.7224806201550388,0.7123966942148761,0.0,0.8731501057082452,0.7048710601719198,0.8946322067594433,0.9232323232323232,0.948936170212766,0.8617021276595744,0.8691910499139415
sympt_now_shortness_of_breath,0.8846153846153846,0.7937743190661478,0.8301435406698564,0.8586118251928021,0.8731501057082452,0.0,0.8777120315581854,0.8894472361809045,0.8938547486033519,0.9470198675496688,0.8544776119402985,0.8701754385964913
sympt_now_headache,0.7013996889580093,0.6978967495219885,0.5924713584288053,0.6683006535947712,0.7048710601719198,0.8777120315581854,0.0,0.8414872798434442,0.8754940711462451,0.9378757515030061,0.839041095890411,0.8333333333333334
sympt_now_nausea_vomiting,0.8432304038004751,0.8274647887323944,0.8175519630484989,0.8525798525798526,0.8946322067594433,0.8894472361809045,0.8414872798434442,0.0,0.7790055248618785,0.9036144578313253,0.8775510204081632,0.9047619047619048
sympt_now_abdominal_pain,0.8765133171912833,0.8475836431226765,0.8601398601398601,0.8844221105527639,0.9232323232323232,0.8938547486033519,0.8754940711462451,0.7790055248618785,0.0,0.8478260869565217,0.9190140845070423,0.9337748344370861
sympt_now_diarrhoea,0.9427860696517413,0.9203187250996016,0.9285714285714286,0.9257294429708223,0.948936170212766,0.9470198675496688,0.9378757515030061,0.9036144578313253,0.8478260869565217,0.0,0.953125,0.9518518518518518
sympt_now_loss_of_taste,0.8562874251497006,0.8096590909090909,0.8111332007952287,0.8208955223880597,0.8617021276595744,0.8544776119402985,0.839041095890411,0.8775510204081632,0.9190140845070423,0.953125,0.0,0.47703180212014135
sympt_now_loss_of_smell,0.8626692456479691,0.8488063660477454,0.8256704980842912,0.81419624217119,0.8691910499139415,0.8701754385964913,0.8333333333333334,0.9047619047619048,0.9337748344370861,0.9518518518518518,0.47703180212014135,0.0
