,sympt_now_fever,sympt_now_muscle_ache_myalgia,sympt_now_fatigue_weakness,sympt_now_sore_throat,sympt_now_cough,sympt_now_shortness_of_breath,sympt_now_headache,sympt_now_nausea_vomiting,sympt_now_abdominal_pain,sympt_now_diarrhoea,sympt_now_loss_of_taste,sympt_now_loss_of_smell
sympt_now_fever,0.0,0.5827922077922078,0.6115322144017326,0.6836253369272237,0.6329354313619099,0.732225656877898,0.6085035891772501,0.7655354781842221,0.8289473684210527,0.8350183823529411,0.7297297297297297,0.7556942277691108
sympt_now_muscle_ache_myalgia,0.5827922077922078,0.0,0.43516243516243514,0.6191059399877527,0.5774079677256682,0.6666666666666666,0.48834717385480847,0.7471475892528524,0.8119001919385797,0.8207440811724915,0.6551623281661304,0.6867848970251716
sympt_now_fatigue_weakness,0.6115322144017326,0.43516243516243514,0.0,0.6113744075829384,0.5109251510925151,0.6547033285094067,0.419585594474593,0.7561921814383766,0.8400961827472198,0.8313866427073974,0.6148282097649186,0.6332312404287902
sympt_now_sore_throat,0.6836253369272237,0.6191059399877527,0.6113744075829384,0.0,0.637223974763407,0.717814371257485,0.5994057266342517,0.802439024390244,0.8529795563288386,0.8502788502788503,0.7285012285012284,0.7376298106291997
sympt_now_cough,0.6329354313619099,0.5774079677256682,0.5109251510925151,0.637223974763407,0.0,0.6962242562929062,0.5431273062730627,0.8055067369654364,0.865783930183569,0.8549113848002403,0.6796894565489607,0.6948438274665345
sympt_now_shortness_of_breath,0.732225656877898,0.6666666666666666,0.6547033285094067,0.717814371257485,0.6962242562929062,0.0,0.6974285714285714,0.7506731287022078,0.810762862211709,0.8120300751879699,0.7300325262016625,0.7457081545064378
sympt_now_headache,0.6085035891772501,0.48834717385480847,0.419585594474593,0.5994057266342517,0.5431273062730627,0.6974285714285714,0.0,0.7661826981246219,0.8392857142857143,0.8413855970829535,0.6482953088951551,0.6658221434000506
sympt_now_nausea_vomiting,0.7655354781842221,0.7471475892528524,0.7561921814383766,0.802439024390244,0.8055067369654364,0.7506731287022078,0.7661826981246219,0.0,0.7440525020508614,0.7596532702915682,0.7917164476304261,0.8106090373280943
sympt_now_abdominal_pain,0.8289473684210527,0.8119001919385797,0.8400961827472198,0.8529795563288386,0.865783930183569,0.810762862211709,0.8392857142857143,0.7440525020508614,0.0,0.7585868498527969,0.8579212070410729,0.8637123745819398
sympt_now_diarrhoea,0.8350183823529411,0.8207440811724915,0.8313866427073974,0.8502788502788503,0.8549113848002403,0.8120300751879699,0.8413855970829535,0.7596532702915682,0.7585868498527969,0.0,0.8552522746071133,0.8628500823723229
sympt_now_loss_of_taste,0.7297297297297297,0.6551623281661304,0.6148282097649186,0.7285012285012284,0.6796894565489607,0.7300325262016625,0.6482953088951551,0.7917164476304261,0.8579212070410729,0.8552522746071133,0.0,0.3054997992773986
sympt_now_loss_of_smell,0.7556942277691108,0.6867848970251716,0.6332312404287902,0.7376298106291997,0.6948438274665345,0.7457081545064378,0.6658221434000506,0.8106090373280943,0.8637123745819398,0.8628500823723229,0.3054997992773986,0.0
