"","V1"
"sympt_now_fever",-0.194374554072989
"sympt_now_muscle_ache_myalgia",-0.398499318916302
"sympt_now_fatigue_weakness",-0.494708157357679
"sympt_now_sore_throat",-0.144712729283037
"sympt_now_cough",-0.115249096335599
"sympt_now_shortness_of_breath",-0.237828751799508
"sympt_now_headache",-0.298483719840137
"sympt_now_nausea_vomiting",-0.363565365466664
"sympt_now_abdominal_pain",-0.377479495669718
"sympt_now_diarrhoea",-0.28428815010926
"sympt_now_loss_of_taste",-0.120619991184901
"sympt_now_loss_of_smell",-0.0936056141325941
