"","V1","V2"
"sympt_now_fever",-0.144936529917873,-0.115133483911454
"sympt_now_muscle_ache_myalgia",-0.322312044634539,-0.194971490656603
"sympt_now_fatigue_weakness",-0.484558441506351,-0.184974279276546
"sympt_now_sore_throat",-0.106979506442205,-0.0705448358787941
"sympt_now_cough",-0.0833705687981941,-0.0739200135823557
"sympt_now_shortness_of_breath",-0.182470993023996,-0.0396282968921843
"sympt_now_headache",-0.230087549865053,-0.150492704547589
"sympt_now_nausea_vomiting",-0.265043801963779,-0.0947806832974328
"sympt_now_abdominal_pain",-0.457939592558081,-0.275427185150073
"sympt_now_diarrhoea",-0.202981547143065,-0.0942831168321864
"sympt_now_loss_of_taste",-0.390836242271351,0.590197475270674
"sympt_now_loss_of_smell",-0.24853347935505,0.661656888594368
