"","V1"
"sympt_now_fever",-0.190372044494771
"sympt_now_muscle_ache_myalgia",-0.450329388905343
"sympt_now_fatigue_weakness",-0.540000252466913
"sympt_now_sore_throat",-0.257215346624436
"sympt_now_cough",-0.062562767109043
"sympt_now_shortness_of_breath",-0.259045643255631
"sympt_now_headache",-0.446366666656634
"sympt_now_nausea_vomiting",-0.247236021522914
"sympt_now_abdominal_pain",-0.211219069273742
"sympt_now_diarrhoea",-0.0926671167619037
"sympt_now_loss_of_taste",-0.114872073579919
"sympt_now_loss_of_smell",-0.0736073322331744
