"","V1","V2"
"sympt_now_fever",-0.115201975580262,-0.0845829709426902
"sympt_now_muscle_ache_myalgia",-0.297675289544167,-0.234022631770612
"sympt_now_fatigue_weakness",-0.461765469391658,-0.315559033192504
"sympt_now_sore_throat",-0.0560621707579884,-0.0451766285787395
"sympt_now_cough",-0.0377390972628541,-0.0759953807223744
"sympt_now_shortness_of_breath",-0.120579270708263,-0.044719089906814
"sympt_now_headache",-0.155062654840555,-0.0903998231639565
"sympt_now_nausea_vomiting",-0.161897037178089,-0.0758810730960747
"sympt_now_abdominal_pain",-0.470662378624824,-0.438132260638067
"sympt_now_diarrhoea",-0.125582561600902,-0.0749817994984292
"sympt_now_loss_of_taste",-0.489869339860286,0.548671039000663
"sympt_now_loss_of_smell",-0.371837207630483,0.56225748582398
