"","symptom","with","proportion_fromsymptomatics","proportion_frompositives","mean_age","median_age","std_age","healthcondition","prop_withhealthcondition"
"1","sympt_now_fever","1881","34.72","13.33","39","41 (31-48)","10.4130184320265","293",16
"2","sympt_now_muscle_ache_myalgia","2484","45.86","17.6","40","41 (32-48)","10.1298642142441","409",16
"3","sympt_now_fatigue_weakness","3248","59.96","23.02","39","41 (31-48)","10.2817592053254","534",16
"4","sympt_now_sore_throat","2026","37.4","14.36","38","39 (29-48)","10.717636940187","304",15
"5","sympt_now_cough","3158","58.3","22.38","39","40 (31-48)","10.3522685572027","497",16
"6","sympt_now_shortness_of_breath","1400","25.84","9.92","40","42 (32-49)","10.2252002776904","305",22
"7","sympt_now_headache","3159","58.32","22.39","39","40 (30-48)","10.4625869583105","488",15
"8","sympt_now_nausea_vomiting","920","16.98","6.52","40","41 (32-49)","10.1426024726124","193",21
"9","sympt_now_abdominal_pain","611","11.28","4.33","40","42 (32-49)","10.3392135719484","142",23
"10","sympt_now_diarrhoea","654","12.07","4.64","40","42 (32-49)","9.97039665678871","142",22
"11","sympt_now_loss_of_taste","2114","39.03","14.98","38","39 (29-48)","10.5731684290827","322",15
"12","sympt_now_loss_of_smell","2107","38.9","14.93","38","38 (29-47)","10.5030296748213","323",15
