"","symptom","with","proportion_fromsymptomatics","proportion_frompositives","mean_age","median_age","std_age","healthcondition","prop_withhealthcondition"
"1","sympt_now_fever","885","32.54","9.82","63","61 (58-67)","7.00359871558468","239",27
"2","sympt_now_muscle_ache_myalgia","1171","43.05","13","64","62 (58-68)","7.21933574008242","340",29
"3","sympt_now_fatigue_weakness","1609","59.15","17.86","64","62 (58-70)","7.66419535960292","453",28
"4","sympt_now_sore_throat","840","30.88","9.32","64","62 (58-68)","7.32027164268105","229",27
"5","sympt_now_cough","1782","65.51","19.78","64","63 (58-69)","7.62576413244055","492",28
"6","sympt_now_shortness_of_breath","693","25.48","7.69","65","62 (58-70)","8.02456421091723","245",35
"7","sympt_now_headache","1340","49.26","14.87","63","62 (58-68)","6.95652680510226","343",26
"8","sympt_now_nausea_vomiting","527","19.38","5.85","64","62 (58-68.5)","7.33801756804868","167",32
"9","sympt_now_abdominal_pain","350","12.87","3.89","64","62 (58-68)","7.34212803240368","108",31
"10","sympt_now_diarrhoea","469","17.24","5.21","65","63 (58-70)","7.84021167702511","156",33
"11","sympt_now_loss_of_taste","875","32.17","9.71","64","62 (58-68)","7.06206122377473","261",30
"12","sympt_now_loss_of_smell","726","26.69","8.06","63","61 (57.25-67)","6.61195350366336","205",28
