,fatigue,abdominal_pain,chest_pain,sore_throat,shortness_of_breath,skipped_meals,smell,unusual_muscle_pains,headache,hoarse_voice,delirium,diarrhoea,fever,persistent_cough
fatigue,11164,4163,5203,6443,2076,7044,8054,7813,9841,4848,3992,4560,6646,6950
abdominal_pain,4163,12030,5563,7119,1284,6312,8228,7633,10420,4881,3301,5473,6148,6612
chest_pain,5203,5563,16232,9655,2138,7388,11157,9647,13796,6852,4136,5504,7679,9668
sore_throat,6443,7119,9655,25869,1821,10030,16369,12960,21463,10802,5171,7561,11456,13803
shortness_of_breath,2076,1284,2138,1821,3068,2000,2235,2095,2641,1509,1275,1449,1929,2331
skipped_meals,7044,6312,7388,10030,2000,19000,13296,10688,15854,7322,4847,7199,9692,10602
smell,8054,8228,11157,16369,2235,13296,32023,15529,25197,11098,6281,9558,12942,15819
unusual_muscle_pains,7813,7633,9647,12960,2095,10688,15529,22795,19613,8856,5694,7643,11604,12672
headache,9841,10420,13796,21463,2641,15854,25197,19613,39518,13382,7622,11463,17242,19618
hoarse_voice,4848,4881,6852,10802,1509,7322,11098,8856,13382,15958,3975,5370,7722,9676
delirium,3992,3301,4136,5171,1275,4847,6281,5694,7622,3975,8833,3413,4702,4889
diarrhoea,4560,5473,5504,7561,1449,7199,9558,7643,11463,5370,3413,13749,6663,7735
fever,6646,6148,7679,11456,1929,9692,12942,11604,17242,7722,4702,6663,20185,11543
persistent_cough,6950,6612,9668,13803,2331,10602,15819,12672,19618,9676,4889,7735,11543,24218
