,fatigue,abdominal_pain,chest_pain,sore_throat,shortness_of_breath,skipped_meals,smell,unusual_muscle_pains,headache,hoarse_voice,delirium,diarrhoea,fever,persistent_cough
fatigue,7317,2721,3707,4531,1282,4355,4303,5334,6669,3273,2641,2877,4361,4513
abdominal_pain,2721,7818,3957,4861,866,4001,4447,5168,6917,3280,2270,3556,4019,4324
chest_pain,3707,3957,11798,7176,1510,5200,6704,7098,10131,4964,3040,3913,5515,6926
sore_throat,4531,4861,7176,18210,1252,6889,9554,9513,15339,7610,3832,5234,8007,9697
shortness_of_breath,1282,866,1510,1252,1968,1214,1157,1403,1781,1015,816,921,1213,1509
skipped_meals,4355,4001,5200,6889,1214,12073,7015,7110,10374,4838,3182,4507,6127,6747
smell,4303,4447,6704,9554,1157,7015,18130,8826,14339,6399,3630,5192,7035,8675
unusual_muscle_pains,5334,5168,7098,9513,1403,7110,8826,15955,13946,6229,4038,5207,8121,8798
headache,6669,6917,10131,15339,1781,10374,14339,13946,27092,9306,5449,7695,11674,13351
hoarse_voice,3273,3280,4964,7610,1015,4838,6399,6229,9306,10834,2823,3607,5250,6593
delirium,2641,2270,3040,3832,816,3182,3630,4038,5449,2823,6125,2299,3210,3357
diarrhoea,2877,3556,3913,5234,921,4507,5192,5207,7695,3607,2299,8988,4339,4997
fever,4361,4019,5515,8007,1213,6127,7035,8121,11674,5250,3210,4339,13283,7729
persistent_cough,4513,4324,6926,9697,1509,6747,8675,8798,13351,6593,3357,4997,7729,15958
