,fatigue,abdominal_pain,chest_pain,sore_throat,shortness_of_breath,skipped_meals,smell,unusual_muscle_pains,headache,hoarse_voice,delirium,diarrhoea,fever,persistent_cough
fatigue,3667,1382,1438,1802,770,2592,1705,2380,3018,1520,1298,1653,2174,2362
abdominal_pain,1382,3617,1465,1926,394,2092,1726,2260,3062,1472,939,1776,1843,2125
chest_pain,1438,1465,4085,2232,593,2060,1921,2404,3389,1778,1022,1538,2008,2574
sore_throat,1802,1926,2232,6315,532,2779,2732,3112,5166,2845,1205,2166,2882,3617
shortness_of_breath,770,394,593,532,1051,758,457,660,820,469,436,516,685,790
skipped_meals,2592,2092,2060,2779,758,6251,2903,3376,4979,2342,1571,2590,3190,3641
smell,1705,1726,1921,2732,457,2903,6112,3007,4677,2252,1164,2049,2574,3303
unusual_muscle_pains,2380,2260,2404,3112,660,3376,3007,6315,5223,2488,1552,2350,3207,3681
headache,3018,3062,3389,5166,820,4979,4677,5223,10682,3733,1994,3582,4794,5777
hoarse_voice,1520,1472,1778,2845,469,2342,2252,2488,3733,4660,1076,1687,2256,2863
delirium,1298,939,1022,1205,436,1571,1164,1552,1994,1076,2493,1082,1374,1452
diarrhoea,1653,1776,1538,2166,516,2590,2049,2350,3582,1687,1082,4472,2203,2632
fever,2174,1843,2008,2882,685,3190,2574,3207,4794,2256,1374,2203,5790,3486
persistent_cough,2362,2125,2574,3617,790,3641,3303,3681,5777,2863,1452,2632,3486,7450
