,fatigue,abdominal_pain,chest_pain,sore_throat,shortness_of_breath,skipped_meals,smell,unusual_muscle_pains,headache,hoarse_voice,delirium,diarrhoea,fever,persistent_cough
fatigue,0.0,0.7808119864668922,0.7594106957424714,0.7841969899028386,0.8398100712232913,0.71034253408713,0.7964907302307983,0.7026424350540752,0.7595890410958904,0.7800107541336201,0.7554856031848903,0.7857462019660411,0.7314489808485745,0.7594606118750666
abdominal_pain,0.7808119864668922,0.0,0.7473018711284245,0.7703500732271933,0.9029147982062781,0.7482064191315293,0.7931724105855542,0.7222252082773448,0.7529025113421213,0.7866250325266718,0.8055341386104686,0.731622641509434,0.7647231003395387,0.7777092329837549
chest_pain,0.7594106957424714,0.7473018711284245,0.0,0.6857042747021724,0.8767950391644909,0.721493224787103,0.7113331036858422,0.6563543936092956,0.6477276678604958,0.7190400724473625,0.7957401061613922,0.7680910330113199,0.718133496882347,0.6674987998079692
sore_throat,0.7841969899028386,0.7703500732271933,0.6857042747021724,0.0,0.933847617034767,0.7055227836197315,0.6433211379078623,0.614108388771702,0.48806861796215334,0.6449566109918821,0.8131005218748476,0.7617009652158077,0.6590734905901388,0.603735033304728
shortness_of_breath,0.8398100712232913,0.9029147982062781,0.8767950391644909,0.933847617034767,0.0,0.9053558899197006,0.9389155799588195,0.9150726392251816,0.9347116829795814,0.9138881818953084,0.8878658787962073,0.908221225710015,0.9135916797264567,0.9080830846074192
skipped_meals,0.71034253408713,0.7482064191315293,0.721493224787103,0.7055227836197315,0.9053558899197006,0.0,0.6974728307745386,0.6601013481212353,0.6396790663749088,0.7322486025790027,0.7880927011188066,0.7277395191494502,0.6813666857350876,0.6830013155421913
smell,0.7964907302307983,0.7931724105855542,0.7113331036858422,0.6433211379078623,0.9389155799588195,0.6974728307745386,0.0,0.6505799912902331,0.535699252015672,0.7164192333259473,0.824,0.7632035026908693,0.7114201329067191,0.6586392791091173
unusual_muscle_pains,0.7026424350540752,0.7222252082773448,0.6563543936092956,0.614108388771702,0.9150726392251816,0.6601013481212353,0.6505799912902331,0.0,0.5207724820452906,0.6970330739299611,0.7761888925839707,0.7361674098094853,0.615428327887484,0.6193813540990699
headache,0.7595890410958904,0.7529025113421213,0.6477276678604958,0.48806861796215334,0.9347116829795814,0.6396790663749088,0.535699252015672,0.5207724820452906,0.0,0.6748427672955974,0.8037669259579372,0.728906112383301,0.5932545904323892,0.5504562443179905
hoarse_voice,0.7800107541336201,0.7866250325266718,0.7190400724473625,0.6449566109918821,0.9138881818953084,0.7322486025790027,0.7164192333259473,0.6970330739299611,0.6748427672955974,0.0,0.8002971137521222,0.7775516497070614,0.721736365081889,0.673597702856577
delirium,0.7554856031848903,0.8055341386104686,0.7957401061613922,0.8131005218748476,0.8878658787962073,0.7880927011188066,0.824,0.7761888925839707,0.8037669259579372,0.8002971137521222,0.0,0.820586858123927,0.8018273860970491,0.8207305350849087
diarrhoea,0.7857462019660411,0.731622641509434,0.7680910330113199,0.7617009652158077,0.908221225710015,0.7277395191494502,0.7632035026908693,0.7361674098094853,0.728906112383301,0.7775516497070614,0.820586858123927,0.0,0.7580303368280169,0.7495112536969272
fever,0.7314489808485745,0.7647231003395387,0.718133496882347,0.6590734905901388,0.9135916797264567,0.6813666857350876,0.7114201329067191,0.615428327887484,0.5932545904323892,0.721736365081889,0.8018273860970491,0.7580303368280169,0.0,0.6407121606545184
persistent_cough,0.7594606118750666,0.7777092329837549,0.6674987998079692,0.603735033304728,0.9080830846074192,0.6830013155421913,0.6586392791091173,0.6193813540990699,0.5504562443179905,0.673597702856577,0.8207305350849087,0.7495112536969272,0.6407121606545184,0.0
