,fatigue,abdominal_pain,chest_pain,sore_throat,shortness_of_breath,skipped_meals,smell,unusual_muscle_pains,headache,hoarse_voice,delirium,diarrhoea,fever,persistent_cough
fatigue,0.0,0.9616724738675958,0.95,0.9626666666666667,0.9411764705882353,0.9392712550607287,0.9473684210526315,0.9349593495934959,0.9658634538152611,0.9659863945578231,0.88,0.9568345323741008,0.9543478260869566,0.9645390070921985
abdominal_pain,0.9616724738675958,0.0,0.872852233676976,0.761252446183953,0.9855072463768116,0.774818401937046,0.8468468468468469,0.8095238095238095,0.7047781569965871,0.8907563025210085,0.9473684210526315,0.824773413897281,0.7794612794612794,0.8993839835728953
chest_pain,0.95,0.872852233676976,0.0,0.8973684210526316,0.9180327868852459,0.953405017921147,0.9240506329113924,0.8161764705882353,0.9250493096646942,0.9036144578313253,0.9113924050632911,0.9263803680981595,0.9354166666666667,0.9266666666666666
sore_throat,0.9626666666666667,0.761252446183953,0.8973684210526316,0.0,0.9807692307692307,0.8224852071005917,0.8797169811320755,0.8522167487684729,0.6821705426356589,0.8092909535452323,0.9601063829787234,0.8785046728971962,0.7329192546583851,0.7705882352941177
shortness_of_breath,0.9411764705882353,0.9855072463768116,0.9180327868852459,0.9807692307692307,0.0,0.9833333333333333,0.9917355371900827,0.963302752293578,0.9898373983739838,0.953125,0.9142857142857143,0.984,0.9846491228070176,0.9851851851851852
skipped_meals,0.9392712550607287,0.774818401937046,0.953405017921147,0.8224852071005917,0.9833333333333333,0.0,0.8846153846153846,0.8811881188118812,0.7577319587628866,0.9057750759878419,0.9482071713147411,0.8685897435897436,0.7193308550185874,0.8839285714285714
smell,0.9473684210526315,0.8468468468468469,0.9240506329113924,0.8797169811320755,0.9917355371900827,0.8846153846153846,0.0,0.8457446808510638,0.8724202626641651,0.9279279279279279,0.9635036496350365,0.9255813953488372,0.9158699808795411,0.9261363636363636
unusual_muscle_pains,0.9349593495934959,0.8095238095238095,0.8161764705882353,0.8522167487684729,0.963302752293578,0.8811881188118812,0.8457446808510638,0.0,0.8460038986354775,0.9248826291079812,0.9098360655737705,0.900990099009901,0.8817635270541082,0.9147058823529411
headache,0.9658634538152611,0.7047781569965871,0.9250493096646942,0.6821705426356589,0.9898373983739838,0.7577319587628866,0.8724202626641651,0.8460038986354775,0.0,0.8731617647058824,0.959758551307847,0.9120287253141831,0.62882096069869,0.850381679389313
hoarse_voice,0.9659863945578231,0.8907563025210085,0.9036144578313253,0.8092909535452323,0.953125,0.9057750759878419,0.9279279279279279,0.9248826291079812,0.8731617647058824,0.0,0.9594594594594594,0.9054054054054054,0.8800773694390716,0.835820895522388
delirium,0.88,0.9473684210526315,0.9113924050632911,0.9601063829787234,0.9142857142857143,0.9482071713147411,0.9635036496350365,0.9098360655737705,0.959758551307847,0.9594594594594594,0.0,0.9791666666666666,0.959051724137931,0.9647887323943662
diarrhoea,0.9568345323741008,0.824773413897281,0.9263803680981595,0.8785046728971962,0.984,0.8685897435897436,0.9255813953488372,0.900990099009901,0.9120287253141831,0.9054054054054054,0.9791666666666666,0.0,0.9021113243761996,0.9119318181818182
fever,0.9543478260869566,0.7794612794612794,0.9354166666666667,0.7329192546583851,0.9846491228070176,0.7193308550185874,0.9158699808795411,0.8817635270541082,0.62882096069869,0.8800773694390716,0.959051724137931,0.9021113243761996,0.0,0.8289902280130294
persistent_cough,0.9645390070921985,0.8993839835728953,0.9266666666666666,0.7705882352941177,0.9851851851851852,0.8839285714285714,0.9261363636363636,0.9147058823529411,0.850381679389313,0.835820895522388,0.9647887323943662,0.9119318181818182,0.8289902280130294,0.0
