,fatigue,abdominal_pain,chest_pain,sore_throat,shortness_of_breath,skipped_meals,smell,unusual_muscle_pains,headache,hoarse_voice,delirium,diarrhoea,fever,persistent_cough
fatigue,0.0,0.7658420874279905,0.7722521381057966,0.7797066014669927,0.8049645390070922,0.6461916461916462,0.7888283378746594,0.6869244935543278,0.7336510458035478,0.7767004554135449,0.7330316742081447,0.7451433857539316,0.7014966360016477,0.7302113078241005
abdominal_pain,0.7658420874279905,0.0,0.7651114317780985,0.7594304271796153,0.9078146934955545,0.7309670781893004,0.7843308759215294,0.705422314911366,0.727507341817211,0.783688464364438,0.8184103654999033,0.7186757484555679,0.7563458487572713,0.7623574144486692
chest_pain,0.7722521381057966,0.7651114317780985,0.0,0.7267384916748286,0.8694695135373102,0.751087481875302,0.7678830352827453,0.6993496748374187,0.702144489365442,0.7447968996698723,0.8160547156227502,0.7808804673030346,0.744756578111097,0.7127552728490124
sore_throat,0.7797066014669927,0.7594304271796153,0.7267384916748286,0.0,0.9221539362013462,0.7160519055890467,0.7182052604435276,0.6730405547383904,0.5633505198208097,0.6500615006150061,0.8415099302906748,0.748753044890384,0.6875203296107557,0.6435750886874261
shortness_of_breath,0.8049645390070922,0.9078146934955545,0.8694695135373102,0.9221539362013462,0.0,0.8841687041564792,0.9318520727706532,0.9015806740232627,0.924860258407404,0.9105303319343762,0.8597168597168597,0.8969442780107849,0.8887264457439896,0.8975489560368305
skipped_meals,0.6461916461916462,0.7309670781893004,0.751087481875302,0.7160519055890467,0.8841687041564792,0.0,0.6931289640591967,0.6326441784548422,0.5834866990128827,0.7266892286147741,0.780984246479855,0.6815443255871142,0.6395887470342334,0.6380715705765407
smell,0.7888283378746594,0.7843308759215294,0.7678830352827453,0.7182052604435276,0.9318520727706532,0.6931289640591967,0.0,0.6807855626326964,0.614013369645952,0.7356807511737089,0.843569412713345,0.7599297012302285,0.7240566037735849,0.678038795204211
unusual_muscle_pains,0.6869244935543278,0.705422314911366,0.6993496748374187,0.6730405547383904,0.9015806740232627,0.6326441784548422,0.6807855626326964,0.0,0.5563954475963988,0.706845764109815,0.7861080485115767,0.7214649757022639,0.6395819285232637,0.6349662832209441
headache,0.7336510458035478,0.727507341817211,0.702144489365442,0.5633505198208097,0.924860258407404,0.5834866990128827,0.614013369645952,0.5563954475963988,0.0,0.6784391420449651,0.8216617476075485,0.6904597303836848,0.5894845007706799,0.5324160259004451
hoarse_voice,0.7767004554135449,0.783688464364438,0.7447968996698723,0.6500615006150061,0.9105303319343762,0.7266892286147741,0.7356807511737089,0.706845764109815,0.6784391420449651,0.0,0.8229389501398716,0.7734049697783747,0.7246765926287527,0.6903860711582135
delirium,0.7330316742081447,0.8184103654999033,0.8160547156227502,0.8415099302906748,0.8597168597168597,0.780984246479855,0.843569412713345,0.7861080485115767,0.8216617476075485,0.8229389501398716,0.0,0.8160802311745708,0.8011289622231872,0.828995406901425
diarrhoea,0.7451433857539316,0.7186757484555679,0.7808804673030346,0.748753044890384,0.8969442780107849,0.6815443255871142,0.7599297012302285,0.7214649757022639,0.6904597303836848,0.7734049697783747,0.8160802311745708,0.0,0.7266410224593622,0.7166846071044134
fever,0.7014966360016477,0.7563458487572713,0.744756578111097,0.6875203296107557,0.8887264457439896,0.6395887470342334,0.7240566037735849,0.6395819285232637,0.5894845007706799,0.7246765926287527,0.8011289622231872,0.7266410224593622,0.0,0.6426081607545623
persistent_cough,0.7302113078241005,0.7623574144486692,0.7127552728490124,0.6435750886874261,0.8975489560368305,0.6380715705765407,0.678038795204211,0.6349662832209441,0.5324160259004451,0.6903860711582135,0.828995406901425,0.7166846071044134,0.6426081607545623,0.0
