"","V1","V2"
"fatigue",-0.361515700867069,0.209960208785583
"abdominal_pain",-0.200454999360538,0.0609866951816595
"chest_pain",-0.191038141319203,-0.00828823431718809
"sore_throat",-0.229954755315042,-0.747875721994198
"shortness_of_breath",-0.397137869203263,0.15436090972389
"skipped_meals",-0.254592791996224,0.201948474934654
"smell",-0.0986030778450357,0.0582920234598287
"unusual_muscle_pains",-0.3151415606461,0.125036133965275
"headache",-0.43490759672049,0.136101087182764
"hoarse_voice",-0.281275110968708,-0.524153064414022
"delirium",-0.198114333123195,0.0439408039686777
"diarrhoea",-0.158946315892707,0.0714737592908703
"fever",-0.211953127517956,0.0470717261801593
"persistent_cough",-0.174582441567131,-0.0815664808162488
