"","V1","V2"
"fatigue",-0.325916083940681,0.206045507434677
"abdominal_pain",-0.164873181997293,0.0586122227051263
"chest_pain",-0.161397047031818,0.0231704351812997
"sore_throat",-0.282608166147078,-0.704937146868312
"shortness_of_breath",-0.478949667782312,0.232937690212996
"skipped_meals",-0.195053349805689,0.131673975948665
"smell",-0.0771843739758615,0.0391619551375363
"unusual_muscle_pains",-0.26533516891066,0.131480903393889
"headache",-0.465107517358155,0.218207021389676
"hoarse_voice",-0.3228140229658,-0.555472915198232
"delirium",-0.165099571582128,0.0442017960765209
"diarrhoea",-0.128712204929033,0.0566946767579522
"fever",-0.177812191437085,0.0628111127157924
"persistent_cough",-0.144584276298522,-0.0306582979079026
