"","V1","V2"
"fatigue",-0.40581533371837,0.174472911693935
"abdominal_pain",-0.191209747523046,-0.0509150754254204
"chest_pain",-0.172658923074094,-0.145017057399027
"sore_throat",-0.182351797846819,-0.760586163374221
"shortness_of_breath",-0.409556145577062,0.0324056750365176
"skipped_meals",-0.465213145764616,0.466602572492251
"smell",-0.12753419100246,0.015832058104994
"unusual_muscle_pains",-0.250903640055818,-0.0374254318996911
"headache",-0.341324346083776,-0.292899187045667
"hoarse_voice",-0.154020545629355,-0.222970750043066
"delirium",-0.204621999559297,0.0816602124669546
"diarrhoea",-0.163321935758148,0.0440861796726306
"fever",-0.207349241113911,-0.0112881199261329
"persistent_cough",-0.143351975000893,-0.0527342539747535
