"","V1","V2"
"fatigue",-0.301097602896261,-0.0543957864892397
"abdominal_pain",-0.147813581421407,-0.00665507274086247
"chest_pain",-0.150069809329106,-0.0115490713176071
"sore_throat",-0.277998297777328,0.672430722154267
"shortness_of_breath",-0.58732899867599,-0.0547890291369856
"skipped_meals",-0.155626732289052,-0.0473047707646871
"smell",-0.146659797513963,-0.731250901804493
"unusual_muscle_pains",-0.223161313603685,-0.0205631866752875
"headache",-0.500014182995636,-0.0379615742650817
"hoarse_voice",-0.139391002341915,0.0356460779226815
"delirium",-0.15373985588382,-0.022484135030043
"diarrhoea",-0.11540388587462,-0.0258208796254728
"fever",-0.155409238513327,0.0112966156621087
"persistent_cough",-0.129043444410632,0.0172758362104336
