,sympt_now_fever,sympt_now_muscle_ache_myalgia,sympt_now_fatigue_weakness,sympt_now_sore_throat,sympt_now_cough,sympt_now_shortness_of_breath,sympt_now_headache,sympt_now_nausea_vomiting,sympt_now_abdominal_pain,sympt_now_diarrhoea,sympt_now_loss_of_taste,sympt_now_loss_of_smell
sympt_now_fever,0.0,0.6030341340075853,0.6272630457933972,0.6882591093117408,0.6520376175548589,0.7546296296296297,0.6172566371681416,0.788135593220339,0.8379373848987108,0.8475499092558983,0.7567901234567901,0.767580452920143
sympt_now_muscle_ache_myalgia,0.6030341340075853,0.0,0.4608788853161844,0.6047381546134664,0.6021400778210116,0.7002724795640327,0.5026795284030011,0.7434402332361516,0.8300751879699249,0.8380386329866271,0.6841505131128849,0.6964679911699779
sympt_now_fatigue_weakness,0.6272630457933972,0.4608788853161844,0.0,0.6341719077568134,0.5277020890099909,0.6721120186697783,0.4174174174174174,0.7606635071090048,0.8479041916167664,0.85,0.6319018404907976,0.6390827517447657
sympt_now_sore_throat,0.6882591093117408,0.6047381546134664,0.6341719077568134,0.0,0.6556701030927835,0.7251552795031055,0.6063947078280044,0.8009868421052632,0.8482142857142857,0.8573943661971831,0.7441574415744158,0.7479091995221028
sympt_now_cough,0.6520376175548589,0.6021400778210116,0.5277020890099909,0.6556701030927835,0.0,0.7316258351893096,0.5657298277425205,0.8235955056179776,0.882830626450116,0.8716452742123687,0.7,0.7015209125475285
sympt_now_shortness_of_breath,0.7546296296296297,0.7002724795640327,0.6721120186697783,0.7251552795031055,0.7316258351893096,0.0,0.7009456264775413,0.7712418300653595,0.8321167883211679,0.8476190476190476,0.7318518518518519,0.751060820367751
sympt_now_headache,0.6172566371681416,0.5026795284030011,0.4174174174174174,0.6063947078280044,0.5657298277425205,0.7009456264775413,0.0,0.7598522167487685,0.84625,0.8527227722772277,0.6690573770491803,0.6779661016949152
sympt_now_nausea_vomiting,0.788135593220339,0.7434402332361516,0.7606635071090048,0.8009868421052632,0.8235955056179776,0.7712418300653595,0.7598522167487685,0.0,0.7760252365930599,0.7555555555555555,0.8099688473520249,0.8384728340675477
sympt_now_abdominal_pain,0.8379373848987108,0.8300751879699249,0.8479041916167664,0.8482142857142857,0.882830626450116,0.8321167883211679,0.84625,0.7760252365930599,0.0,0.7580645161290323,0.8494077834179357,0.8559870550161812
sympt_now_diarrhoea,0.8475499092558983,0.8380386329866271,0.85,0.8573943661971831,0.8716452742123687,0.8476190476190476,0.8527227722772277,0.7555555555555555,0.7580645161290323,0.0,0.8694214876033057,0.8714285714285714
sympt_now_loss_of_taste,0.7567901234567901,0.6841505131128849,0.6319018404907976,0.7441574415744158,0.7,0.7318518518518519,0.6690573770491803,0.8099688473520249,0.8494077834179357,0.8694214876033057,0.0,0.2971698113207547
sympt_now_loss_of_smell,0.767580452920143,0.6964679911699779,0.6390827517447657,0.7479091995221028,0.7015209125475285,0.751060820367751,0.6779661016949152,0.8384728340675477,0.8559870550161812,0.8714285714285714,0.2971698113207547,0.0
