,fatigue,abdominal_pain,chest_pain,sore_throat,shortness_of_breath,skipped_meals,smell,unusual_muscle_pains,headache,hoarse_voice,delirium,diarrhoea,fever,persistent_cough
fatigue,0.0,0.7805255023183926,0.7796296296296297,0.788317107093185,0.8215568862275449,0.6683969465648855,0.7558926487747958,0.6993699369936993,0.7414097781268407,0.7925778661365143,0.7565853658536585,0.7614195361911454,0.7074154514427552,0.7385168078008725
abdominal_pain,0.7805255023183926,0.0,0.7774122807017544,0.7720178372352285,0.9179624664879357,0.7346528973034997,0.7567005545286506,0.7133215962441315,0.7323390894819466,0.7983083929733247,0.8261065943992774,0.7236701178150661,0.7650849443468073,0.7692688971499381
chest_pain,0.7796296296296297,0.7774122807017544,0.0,0.739251040221914,0.8777315296566077,0.7568306010928961,0.7567567567567568,0.7140420693575895,0.716147859922179,0.7436905932481154,0.8126626192541196,0.7925877763328999,0.7560696943730363,0.7304153195722457
sore_throat,0.788317107093185,0.7720178372352285,0.739251040221914,0.0,0.9287616511318242,0.721285323609845,0.669967663702506,0.6843345111896348,0.5708955223880597,0.6488128106018775,0.8438831405964698,0.7597402597402597,0.6949397590361446,0.6445372609364696
shortness_of_breath,0.8215568862275449,0.9179624664879357,0.8777315296566077,0.9287616511318242,0.0,0.8966107497432386,0.9240441365152682,0.9077553809361121,0.9323612798703929,0.9188955996548749,0.8657556270096463,0.9005066789497927,0.8993093420574336,0.9106113033448674
skipped_meals,0.6683969465648855,0.7346528973034997,0.7568306010928961,0.721285323609845,0.8966107497432386,0.0,0.6087874947190537,0.6342536037136575,0.5758082497212932,0.7308290155440414,0.8,0.6791931472782536,0.64475,0.6398501212254794
smell,0.7558926487747958,0.7567005545286506,0.7567567567567568,0.669967663702506,0.9240441365152682,0.6087874947190537,0.0,0.6256023465325791,0.49275615290626634,0.7012613410046471,0.8367446393762183,0.717090584560464,0.6553755522827688,0.5940145697972041
unusual_muscle_pains,0.6993699369936993,0.7133215962441315,0.7140420693575895,0.6843345111896348,0.9077553809361121,0.6342536037136575,0.6256023465325791,0.0,0.5689396777819408,0.7159420289855073,0.7971983444762815,0.7285370419898368,0.6461731493099122,0.6377743294169808
headache,0.7414097781268407,0.7323390894819466,0.716147859922179,0.5708955223880597,0.9323612798703929,0.5758082497212932,0.49275615290626634,0.5689396777819408,0.0,0.6828436018957346,0.8305694305694306,0.697998093422307,0.5929553588246375,0.5279369627507163
hoarse_voice,0.7925778661365143,0.7983083929733247,0.7436905932481154,0.6488128106018775,0.9188955996548749,0.7308290155440414,0.7012613410046471,0.7159420289855073,0.6828436018957346,0.0,0.8320090805902384,0.7831686133572926,0.7255486318070984,0.6886270738158211
delirium,0.7565853658536585,0.8261065943992774,0.8126626192541196,0.8438831405964698,0.8657556270096463,0.8,0.8367446393762183,0.7971983444762815,0.8305694305694306,0.8320090805902384,0.0,0.8231562252180809,0.8202026806145799,0.8409997341132678
diarrhoea,0.7614195361911454,0.7236701178150661,0.7925877763328999,0.7597402597402597,0.9005066789497927,0.6791931472782536,0.717090584560464,0.7285370419898368,0.697998093422307,0.7831686133572926,0.8231562252180809,0.0,0.7355212355212355,0.7224616858237548
fever,0.7074154514427552,0.7650849443468073,0.7560696943730363,0.6949397590361446,0.8993093420574336,0.64475,0.6553755522827688,0.6461731493099122,0.5929553588246375,0.7255486318070984,0.8202026806145799,0.7355212355212355,0.0,0.6396539949920328
persistent_cough,0.7385168078008725,0.7692688971499381,0.7304153195722457,0.6445372609364696,0.9106113033448674,0.6398501212254794,0.5940145697972041,0.6377743294169808,0.5279369627507163,0.6886270738158211,0.8409997341132678,0.7224616858237548,0.6396539949920328,0.0
