,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7740018642224639,0.9912722176212015,0.9127334173444839,0.8673735215964153,0.8832645859659999,0.9518836589963793,0.8573008849557522,0.9352461858529819,0.9343826772553276,0.9825625235641573,0.9604093477928822,0.7618535238941779,0.9972419101375838,0.8033173532955623,0.8492930252189511,0.9492742780188538,0.9431486045045562
fever,0.7740018642224639,0.0,0.9881062999442483,0.9035371584545685,0.8178967230977755,0.8043239190202449,0.9338639995265432,0.8083438481569976,0.9076820962714994,0.901491253226269,0.9816678867740362,0.9586528743832115,0.807482256174409,0.996361035083354,0.8414568957138692,0.8526432171140594,0.9249501354529487,0.9309780461651335
altered_consciousness,0.9912722176212015,0.9881062999442483,0.0,0.9800054406964092,0.9735762738602303,0.9817152808010449,0.9683472756047932,0.9767994298836012,0.9714884020618557,0.9704952581664911,0.9797979797979798,0.9828913601368692,0.9882925072046109,0.9886649874055415,0.9837041679724224,0.9819715258433921,0.9773277569887739,0.9783508436803565
diarrhoea,0.9127334173444839,0.9035371584545685,0.9800054406964092,0.0,0.8737093857551187,0.9226235741444867,0.9378851609116697,0.8596605744125326,0.9290540540540541,0.9005524861878453,0.9723508069560866,0.9314118539386715,0.887956698240866,0.993619736282433,0.876746506986028,0.9108622620380739,0.9056811362272454,0.9387261040153602
fatigue,0.8673735215964153,0.8178967230977755,0.9735762738602303,0.8737093857551187,0.0,0.8123393316195373,0.8767837541163557,0.7475438063405246,0.8468753961211813,0.8546158098396904,0.9675090252707581,0.9373142580689751,0.8280165487058502,0.9947393591582975,0.8114847957928666,0.8312344927671925,0.9099039417025505,0.8956010664081435
headache,0.8832645859659999,0.8043239190202449,0.9817152808010449,0.9226235741444867,0.8123393316195373,0.0,0.8698739977090493,0.8431348323861296,0.8297953200499484,0.8383214568487728,0.9701681431929127,0.9636021683814582,0.8648510073591507,0.996607614021862,0.8464733340684383,0.7979630808402292,0.9373625784308468,0.8861197110423117
joint_pain,0.9518836589963793,0.9338639995265432,0.9683472756047932,0.9378851609116697,0.8767837541163557,0.8698739977090493,0.0,0.8966522092708051,0.6186560816557981,0.888016573983208,0.9677293174261686,0.9542503397252,0.9384710234278668,0.9939569736524051,0.9178460858027422,0.8898299388317538,0.949475065616798,0.9090604775719705
loss_of_appetite,0.8573008849557522,0.8083438481569976,0.9767994298836012,0.8596605744125326,0.7475438063405246,0.8431348323861296,0.8966522092708051,0.0,0.8746814197799465,0.8495350278983261,0.9669721990758275,0.9296218487394958,0.8071877180739707,0.9949430085085889,0.7902555218709398,0.8376711368627634,0.8974531734267619,0.8681977034448327
muscle_ache,0.9352461858529819,0.9076820962714994,0.9714884020618557,0.9290540540540541,0.8468753961211813,0.8297953200499484,0.6186560816557981,0.8746814197799465,0.0,0.8711495116453795,0.9671224905440792,0.9547138248297288,0.9197921550242225,0.9942857142857143,0.8985895192010708,0.8634645181282925,0.9435605246183616,0.8966993246456768
nausea,0.9343826772553276,0.901491253226269,0.9704952581664911,0.9005524861878453,0.8546158098396904,0.8383214568487728,0.888016573983208,0.8495350278983261,0.8711495116453795,0.0,0.9671862182116489,0.9552679382379655,0.9174499229583976,0.9931185486393493,0.8931104356636271,0.8695181375203032,0.8189546237794371,0.9066582002902758
nose_bleed,0.9825625235641573,0.9816678867740362,0.9797979797979798,0.9723508069560866,0.9675090252707581,0.9701681431929127,0.9677293174261686,0.9669721990758275,0.9671224905440792,0.9671862182116489,0.0,0.9758430997369051,0.9750652106636014,0.9900199600798403,0.9645893217540211,0.9693907875185735,0.977298740938573,0.9702612963764977
rash,0.9604093477928822,0.9586528743832115,0.9828913601368692,0.9314118539386715,0.9373142580689751,0.9636021683814582,0.9542503397252,0.9296218487394958,0.9547138248297288,0.9552679382379655,0.9758430997369051,0.0,0.9469019042368209,0.993322734499205,0.936820418908092,0.95340211747252,0.9560619600834078,0.9623020562514772
runny_nose,0.7618535238941779,0.807482256174409,0.9882925072046109,0.887956698240866,0.8280165487058502,0.8648510073591507,0.9384710234278668,0.8071877180739707,0.9197921550242225,0.9174499229583976,0.9750652106636014,0.9469019042368209,0.0,0.9953105081041704,0.6521739130434783,0.8243390942004235,0.9399394484903035,0.9240934354230634
seizures,0.9972419101375838,0.996361035083354,0.9886649874055415,0.993619736282433,0.9947393591582975,0.996607614021862,0.9939569736524051,0.9949430085085889,0.9942857142857143,0.9931185486393493,0.9900199600798403,0.993322734499205,0.9953105081041704,0.0,0.994915469683488,0.995274102079395,0.9902473834443387,0.9953247620637836
sneezing,0.8033173532955623,0.8414568957138692,0.9837041679724224,0.876746506986028,0.8114847957928666,0.8464733340684383,0.9178460858027422,0.7902555218709398,0.8985895192010708,0.8931104356636271,0.9645893217540211,0.936820418908092,0.6521739130434783,0.994915469683488,0.0,0.8129293269838594,0.9307550043516101,0.9081320697034546
sore_throat,0.8492930252189511,0.8526432171140594,0.9819715258433921,0.9108622620380739,0.8312344927671925,0.7979630808402292,0.8898299388317538,0.8376711368627634,0.8634645181282925,0.8695181375203032,0.9693907875185735,0.95340211747252,0.8243390942004235,0.995274102079395,0.8129293269838594,0.0,0.9434790910826809,0.897100318184547
vomiting,0.9492742780188538,0.9249501354529487,0.9773277569887739,0.9056811362272454,0.9099039417025505,0.9373625784308468,0.949475065616798,0.8974531734267619,0.9435605246183616,0.8189546237794371,0.977298740938573,0.9560619600834078,0.9399394484903035,0.9902473834443387,0.9307550043516101,0.9434790910826809,0.0,0.9557297182800254
loss_of_smell_or_taste,0.9431486045045562,0.9309780461651335,0.9783508436803565,0.9387261040153602,0.8956010664081435,0.8861197110423117,0.9090604775719705,0.8681977034448327,0.8966993246456768,0.9066582002902758,0.9702612963764977,0.9623020562514772,0.9240934354230634,0.9953247620637836,0.9081320697034546,0.897100318184547,0.9557297182800254,0.0
