,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.6575872142979894,0.9403144721360573,0.8331226295828066,0.6477005833775286,0.6466643134486411,0.6946467152116508,0.7184309053778081,0.6631203035488431,0.7867186791254649,0.9663325343212029,0.9765181301878549,0.8077222751276946,0.9915649278579356,0.8018978761861726,0.7408768481326382,0.9172450052576235,0.7309443019117768
fever,0.6575872142979894,0.0,0.9164297896532121,0.8190105749361857,0.6841927303465765,0.6998999153129571,0.7105964525319364,0.7155207076799357,0.6957678556581026,0.7751518498067366,0.9659824888761304,0.9736461048363741,0.8565883757961783,0.9890028235993461,0.8546080784886755,0.796985215962895,0.8959911833585893,0.7528905876731964
altered_consciousness,0.9403144721360573,0.9164297896532121,0.0,0.8953327809997238,0.9131634116738386,0.9345731998092514,0.922638330957626,0.8981120299578718,0.9302575107296137,0.895396629675298,0.9446808510638298,0.9518716577540107,0.9455707762557077,0.9578139980824545,0.9397055858035894,0.9334811529933481,0.8855480116391853,0.9246444802814836
diarrhoea,0.8331226295828066,0.8190105749361857,0.8953327809997238,0.0,0.7882293252156266,0.8195977216091136,0.810062893081761,0.7631401162005135,0.8166388698126165,0.7637417218543047,0.9464390818128311,0.9603841536614646,0.8711066456150424,0.9866114121772394,0.8650401482396541,0.8458218909376226,0.8422995780590717,0.8228021978021978
fatigue,0.6477005833775286,0.6841927303465765,0.9131634116738386,0.7882293252156266,0.0,0.558488573798929,0.5661109640998501,0.5743063473964272,0.5387502039484419,0.6900452488687783,0.958011049723757,0.9674057649667406,0.7782825583466951,0.9895926589077887,0.7758508763794862,0.7151111889336368,0.8952422052001294,0.6780027691242645
headache,0.6466643134486411,0.6998999153129571,0.9345731998092514,0.8195977216091136,0.558488573798929,0.0,0.5672481252037822,0.6575939478661295,0.5249635708259835,0.7169778245244982,0.9637590361445784,0.971967133881102,0.7412306404353286,0.9914246735529136,0.7444012105490705,0.6706830646501579,0.9158852213053263,0.689976322020521
joint_pain,0.6946467152116508,0.7105964525319364,0.922638330957626,0.810062893081761,0.5661109640998501,0.5672481252037822,0.0,0.6398707331852151,0.43948923194206213,0.7118959107806692,0.9578877887788779,0.9652787016096848,0.7781902086677368,0.9904338453247103,0.768581081081081,0.7060561299852289,0.9054325955734407,0.7023326093115497
loss_of_appetite,0.7184309053778081,0.7155207076799357,0.8981120299578718,0.7631401162005135,0.5743063473964272,0.6575939478661295,0.6398707331852151,0.0,0.6399280575539569,0.6492623476587556,0.9500474233322794,0.9656046917102552,0.8130567021507712,0.9876723438767234,0.8012894312687082,0.7496844762305427,0.8650624428876028,0.6694012358832303
muscle_ache,0.6631203035488431,0.6957678556581026,0.9302575107296137,0.8166388698126165,0.5387502039484419,0.5249635708259835,0.43948923194206213,0.6399280575539569,0.0,0.721259992386753,0.9625203693644758,0.9695248498088477,0.7596377980993365,0.9915123456790124,0.7572308266467624,0.6952380952380952,0.9127925280722007,0.6943949800729247
nausea,0.7867186791254649,0.7751518498067366,0.895396629675298,0.7637417218543047,0.6900452488687783,0.7169778245244982,0.7118959107806692,0.6492623476587556,0.721259992386753,0.0,0.9470888227794305,0.962700964630225,0.8297872340425532,0.9846153846153847,0.8255485260465742,0.7870392390011891,0.7949414715719063,0.7674577818347786
nose_bleed,0.9663325343212029,0.9659824888761304,0.9446808510638298,0.9464390818128311,0.958011049723757,0.9637590361445784,0.9578877887788779,0.9500474233322794,0.9625203693644758,0.9470888227794305,0.0,0.9445676274944568,0.9577492211838006,0.9658914728682171,0.9618025751072962,0.9655963302752294,0.9508379888268157,0.9632683658170914
rash,0.9765181301878549,0.9736461048363741,0.9518716577540107,0.9603841536614646,0.9674057649667406,0.971967133881102,0.9652787016096848,0.9656046917102552,0.9695248498088477,0.962700964630225,0.9445676274944568,0.0,0.9692973824050384,0.9777365491651205,0.9658344283837057,0.969061876247505,0.958628841607565,0.9712513239521864
runny_nose,0.8077222751276946,0.8565883757961783,0.9455707762557077,0.8711066456150424,0.7782825583466951,0.7412306404353286,0.7781902086677368,0.8130567021507712,0.7596377980993365,0.8297872340425532,0.9577492211838006,0.9692973824050384,0.0,0.9904179408766565,0.5973247232472325,0.744045503021685,0.9417925824175825,0.7941429801894918
seizures,0.9915649278579356,0.9890028235993461,0.9578139980824545,0.9866114121772394,0.9895926589077887,0.9914246735529136,0.9904338453247103,0.9876723438767234,0.9915123456790124,0.9846153846153847,0.9658914728682171,0.9777365491651205,0.9904179408766565,0.0,0.9892938496583144,0.9888850889192886,0.9764379764379765,0.9896075694121297
sneezing,0.8018978761861726,0.8546080784886755,0.9397055858035894,0.8650401482396541,0.7758508763794862,0.7444012105490705,0.768581081081081,0.8012894312687082,0.7572308266467624,0.8255485260465742,0.9618025751072962,0.9658344283837057,0.5973247232472325,0.9892938496583144,0.0,0.7471735619331594,0.9351432880844646,0.7877240753346948
sore_throat,0.7408768481326382,0.796985215962895,0.9334811529933481,0.8458218909376226,0.7151111889336368,0.6706830646501579,0.7060561299852289,0.7496844762305427,0.6952380952380952,0.7870392390011891,0.9655963302752294,0.969061876247505,0.744045503021685,0.9888850889192886,0.7471735619331594,0.0,0.922727960078633,0.773845533373664
vomiting,0.9172450052576235,0.8959911833585893,0.8855480116391853,0.8422995780590717,0.8952422052001294,0.9158852213053263,0.9054325955734407,0.8650624428876028,0.9127925280722007,0.7949414715719063,0.9508379888268157,0.958628841607565,0.9417925824175825,0.9764379764379765,0.9351432880844646,0.922727960078633,0.0,0.9128905150576977
loss_of_smell_or_taste,0.7309443019117768,0.7528905876731964,0.9246444802814836,0.8228021978021978,0.6780027691242645,0.689976322020521,0.7023326093115497,0.6694012358832303,0.6943949800729247,0.7674577818347786,0.9632683658170914,0.9712513239521864,0.7941429801894918,0.9896075694121297,0.7877240753346948,0.773845533373664,0.9128905150576977,0.0
