"","dataset","symptom_name_formatted","prop_with_symptom","category","name"
"1","CTAS","Altered conciousness",0.0304426529260393,"Altered state","NHS Test & Trace
Pillar 2"
"2","CTAS","Cough",0.448040098536904,"Lower respiratory tract","NHS Test & Trace
Pillar 2"
"3","CTAS","Diarrhoea",0.122135698870244,"Gastrointestinal","NHS Test & Trace
Pillar 2"
"4","CTAS","Fatigue",0.384296367749006,"Systemic","NHS Test & Trace
Pillar 2"
"5","CTAS","Fever",0.294796286855946,"Systemic","NHS Test & Trace
Pillar 2"
"6","CTAS","Headache",0.558353200465211,"Systemic","NHS Test & Trace
Pillar 2"
"7","CTAS","Joint Pain",0.332392328285403,"Systemic","NHS Test & Trace
Pillar 2"
"8","CTAS","Loss of appetite",0.260511060981157,"Gastrointestinal","NHS Test & Trace
Pillar 2"
"9","CTAS","Loss of smell or taste",0.360411852512111,"Upper respiratory tract","NHS Test & Trace
Pillar 2"
"10","CTAS","Muscle ache",0.447121885998785,"Systemic","NHS Test & Trace
Pillar 2"
"11","CTAS","Nausea",0.190402725332959,"Gastrointestinal","NHS Test & Trace
Pillar 2"
"12","CTAS","Nose bleed",0.0205993412557655,"Other","NHS Test & Trace
Pillar 2"
"13","CTAS","Rash",0.0202647797724616,"Other","NHS Test & Trace
Pillar 2"
"14","CTAS","Rhinitis",0.271759775086769,"Upper respiratory tract","NHS Test & Trace
Pillar 2"
"15","CTAS","Seizures",0.00259101995463884,"Altered state","NHS Test & Trace
Pillar 2"
"16","CTAS","Sneezing",0.244349543488414,"Upper respiratory tract","NHS Test & Trace
Pillar 2"
"17","CTAS","Sore throat",0.3476759271413,"Upper respiratory tract","NHS Test & Trace
Pillar 2"
"18","CTAS","Vomiting",0.0398836360972304,"Gastrointestinal","NHS Test & Trace
Pillar 2"
"19","CTAS","Altered conciousness",0.0530174894841709,"Altered state","NHS Test & Trace
SGSS"
"20","CTAS","Cough",0.444649103387204,"Lower respiratory tract","NHS Test & Trace
SGSS"
"21","CTAS","Diarrhoea",0.147894620323223,"Gastrointestinal","NHS Test & Trace
SGSS"
"22","CTAS","Fatigue",0.435067522692052,"Systemic","NHS Test & Trace
SGSS"
"23","CTAS","Fever",0.344848350675227,"Systemic","NHS Test & Trace
SGSS"
"24","CTAS","Headache",0.475156077042285,"Systemic","NHS Test & Trace
SGSS"
"25","CTAS","Joint Pain",0.303475758246624,"Systemic","NHS Test & Trace
SGSS"
"26","CTAS","Loss of appetite",0.295435023245517,"Gastrointestinal","NHS Test & Trace
SGSS"
"27","CTAS","Loss of smell or taste",0.303422625636484,"Upper respiratory tract","NHS Test & Trace
SGSS"
"28","CTAS","Muscle ache",0.400274518485721,"Systemic","NHS Test & Trace
SGSS"
"29","CTAS","Nausea",0.200991808722603,"Gastrointestinal","NHS Test & Trace
SGSS"
"30","CTAS","Nose bleed",0.0241576267434138,"Other","NHS Test & Trace
SGSS"
"31","CTAS","Rash",0.0219172016825327,"Other","NHS Test & Trace
SGSS"
