,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,536161.0,193525.0,22636.0,79129.0,243439.0,336420.0,218442.0,165900.0,286392.0,126630.0,13830.0,12832.0,161472.0,1854.0,158407.0,231975.0,28591.0,203528.0
fever,193525.0,350345.0,20326.0,58410.0,180120.0,237131.0,168877.0,127588.0,213893.0,97470.0,9947.0,9733.0,93043.0,1662.0,88643.0,141866.0,24875.0,138678.0
altered_consciousness,22636.0,20326.0,38804.0,11035.0,30035.0,31582.0,25537.0,22532.0,28936.0,18854.0,2342.0,2358.0,15351.0,573.0,15848.0,20640.0,5078.0,22478.0
diarrhoea,79129.0,58410.0,11035.0,148174.0,89257.0,108739.0,79449.0,69577.0,95559.0,62379.0,6277.0,6228.0,53653.0,915.0,53844.0,70018.0,17510.0,72700.0
fatigue,243439.0,180120.0,30035.0,89257.0,479511.0,352583.0,256852.0,204421.0,318899.0,155889.0,15231.0,15273.0,160105.0,2185.0,161023.0,221056.0,32182.0,219486.0
headache,336420.0,237131.0,31582.0,108739.0,352583.0,723396.0,325299.0,238219.0,426504.0,193631.0,19018.0,18195.0,231651.0,2487.0,225099.0,319351.0,37421.0,290169.0
joint_pain,218442.0,168877.0,25537.0,79449.0,256852.0,325299.0,433036.0,175656.0,343698.0,135567.0,13565.0,13824.0,138542.0,1992.0,140699.0,202037.0,27870.0,186533.0
loss_of_appetite,165900.0,127588.0,22532.0,69577.0,204421.0,238219.0,175656.0,314611.0,210759.0,129792.0,11836.0,11225.0,109024.0,1649.0,110947.0,150352.0,28599.0,172063.0
muscle_ache,286392.0,213893.0,28936.0,95559.0,318899.0,426504.0,343698.0,210759.0,595146.0,162277.0,16218.0,16312.0,186004.0,2216.0,183668.0,265965.0,31933.0,241236.0
nausea,126630.0,97470.0,18854.0,62379.0,155889.0,193631.0,135567.0,129792.0,162277.0,241605.0,9918.0,9398.0,87263.0,1507.0,89457.0,120822.0,35378.0,119506.0
nose_bleed,13830.0,9947.0,2342.0,6277.0,15231.0,19018.0,13565.0,11836.0,16218.0,9918.0,25335.0,1576.0,11995.0,332.0,11805.0,13055.0,2836.0,13130.0
rash,12832.0,9733.0,2358.0,6228.0,15273.0,18195.0,13824.0,11225.0,16312.0,9398.0,1576.0,24501.0,9645.0,306.0,10211.0,12454.0,2359.0,12519.0
runny_nose,161472.0,93043.0,15351.0,53653.0,160105.0,231651.0,138542.0,109024.0,186004.0,87263.0,11995.0,9645.0,344110.0,1513.0,192007.0,174751.0,16622.0,152882.0
seizures,1854.0,1662.0,573.0,915.0,2185.0,2487.0,1992.0,1649.0,2216.0,1507.0,332.0,306.0,1513.0,3300.0,1441.0,1653.0,557.0,1700.0
sneezing,158407.0,88643.0,15848.0,53844.0,161023.0,225099.0,140699.0,110947.0,183668.0,89457.0,11805.0,10211.0,192007.0,1441.0,315096.0,167876.0,16569.0,150928.0
sore_throat,231975.0,141866.0,20640.0,70018.0,221056.0,319351.0,202037.0,150352.0,265965.0,120822.0,13055.0,12454.0,174751.0,1653.0,167876.0,452228.0,23366.0,177325.0
vomiting,28591.0,24875.0,5078.0,17510.0,32182.0,37421.0,27870.0,28599.0,31933.0,35378.0,2836.0,2359.0,16622.0,557.0,16569.0,23366.0,48037.0,25094.0
loss_of_smell_or_taste,203528.0,138678.0,22478.0,72700.0,219486.0,290169.0,186533.0,172063.0,241236.0,119506.0,13130.0,12519.0,152882.0,1700.0,150928.0,177325.0,25094.0,481122.0
