,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.7207508290115066,0.9590179219645906,0.8692629133503083,0.6847424661507702,0.6355600618752356,0.7090415046086632,0.7577561938581224,0.6610400984708611,0.805541008531126,0.9747421353330741,0.9765733238171208,0.7753526005770713,0.9965476961079738,0.7713701396075171,0.6933150718253664,0.9485451204345471,0.850980240671511,0.7498611404668629
fever,0.7207508290115066,0.0,0.9448787087573172,0.8672847080209043,0.7227873017925053,0.7165599880472135,0.7251864918698657,0.7625939979046445,0.7076362870916991,0.8029129178320158,0.9728111380277685,0.9733455303368509,0.8453217254239487,0.9952753400022161,0.846335877730257,0.7852537324276218,0.9334040149288098,0.870145986470261,0.799825640389076
altered_consciousness,0.9590179219645906,0.9448787087573172,0.0,0.9372722880609315,0.9384942413866544,0.9567691118000096,0.9427716782433341,0.9319010172687875,0.952161279445697,0.9279028866373542,0.9621389855189709,0.9612810080063,0.9582307443268846,0.9862047380585516,0.9531197311831138,0.9561136656908952,0.9379211662406595,0.9607177332735108,0.9548088693774913
diarrhoea,0.8692629133503083,0.8672847080209043,0.9372722880609315,0.0,0.8342380958571596,0.8574709509627082,0.8416829593490102,0.8230659481234883,0.8524810344667884,0.8094762467660598,0.962469501985361,0.9625746524231246,0.877696185158756,0.9939155618141722,0.8684943886086924,0.8679996606238864,0.9020264031204706,0.9065794984314459,0.8694054050169682
fatigue,0.6847424661507702,0.7227873017925053,0.9384942413866544,0.8342380958571596,0.0,0.5853360522329787,0.6082937712838234,0.653370774132613,0.5780188576887555,0.7242158337019018,0.9688937268709511,0.9687415603440516,0.758707059990174,0.9954520204804713,0.7458603209474388,0.6889538319534886,0.9350457715560311,0.8300871058842705,0.7038477157771322
headache,0.6355600618752356,0.7165599880472135,0.9567691118000096,0.8574709509627082,0.5853360522329787,0.0,0.6086227308602999,0.7021487818235013,0.5218732624253404,0.7489829941585362,0.9739355652090499,0.9750602287458991,0.7228530376244068,0.9965632227553591,0.7232652057657436,0.6270485150492064,0.9490224500666867,0.8130174649669925,0.682627278056292
joint_pain,0.7090415046086632,0.7251864918698657,0.9427716782433341,0.8416829593490102,0.6082937712838234,0.6086227308602999,0.0,0.6929300699300699,0.49788455020394806,0.7485029495788966,0.9695058070259843,0.9688400783392794,0.7830412342075428,0.9954091264907676,0.7683772629471775,0.7042890513854818,0.9385130692274085,0.8446406760637771,0.7436539817305037
loss_of_appetite,0.7577561938581224,0.7625939979046445,0.9319010172687875,0.8230659481234883,0.653370774132613,0.7021487818235013,0.6929300699300699,0.0,0.6984882711183532,0.6956378994566428,0.9639269517725655,0.9657533411002605,0.8016507425976729,0.9947828066603006,0.7861288612596983,0.7561087969271096,0.914405797882372,0.8540814054529082,0.724119133435091
muscle_ache,0.6610400984708611,0.7076362870916991,0.952161279445697,0.8524810344667884,0.5780188576887555,0.5218732624253404,0.49788455020394806,0.6984882711183532,0.0,0.7594003579111864,0.9731540292124939,0.9729586830555446,0.7530448381794961,0.9962799590761954,0.7472085242372902,0.6596366847321845,0.9477646735476145,0.8194583284263918,0.7111071726238947
nausea,0.805541008531126,0.8029129178320158,0.9279028866373542,0.8094762467660598,0.7242158337019018,0.7489829941585362,0.7485029495788966,0.6956378994566428,0.7594003579111864,0.0,0.9614233856377494,0.9633818069909584,0.8249352994282275,0.9938042334998686,0.80855881402471,0.7891196827912139,0.8608567742747467,0.8699974446999744,0.8018857915815718
nose_bleed,0.9747421353330741,0.9728111380277685,0.9621389855189709,0.962469501985361,0.9688937268709511,0.9739355652090499,0.9695058070259843,0.9639269517725655,0.9731540292124939,0.9614233856377494,0.0,0.9673255428476711,0.9664374517417723,0.9882710379424857,0.9640736965418613,0.9718909912101491,0.9597788332033742,0.9780713101972603,0.9733828435684664
rash,0.9765733238171208,0.9733455303368509,0.9612810080063,0.9625746524231246,0.9687415603440516,0.9750602287458991,0.9688400783392794,0.9657533411002605,0.9729586830555446,0.9633818069909584,0.9673255428476711,0.0,0.9731286737053235,0.9888723226299139,0.969001967165339,0.9731714198944174,0.9663717066358882,0.9754133226465305,0.9746077709710976
runny_nose,0.7753526005770713,0.8453217254239487,0.9582307443268846,0.877696185158756,0.758707059990174,0.7228530376244068,0.7830412342075428,0.8016507425976729,0.7530448381794961,0.8249352994282275,0.9664374517417723,0.9731286737053235,0.0,0.9956259034403007,0.588998405410901,0.7188704560518407,0.9557449777380116,0.8572521239571899,0.7726238421863567
seizures,0.9965476961079738,0.9952753400022161,0.9862047380585516,0.9939155618141722,0.9954520204804713,0.9965632227553591,0.9954091264907676,0.9947828066603006,0.9962799590761954,0.9938042334998686,0.9882710379424857,0.9888723226299139,0.9956259034403007,0.0,0.9954539001498541,0.99635586498634,0.989010989010989,0.9969342458838725,0.9964765173657358
sneezing,0.7713701396075171,0.846335877730257,0.9531197311831138,0.8684943886086924,0.7458603209474388,0.7232652057657436,0.7683772629471775,0.7861288612596983,0.7472085242372902,0.80855881402471,0.9640736965418613,0.969001967165339,0.588998405410901,0.9954539001498541,0.0,0.7199474198703513,0.9521929938455945,0.8539080713250583,0.7660853058536397
sore_throat,0.6933150718253664,0.7852537324276218,0.9561136656908952,0.8679996606238864,0.6889538319534886,0.6270485150492064,0.7042890513854818,0.7561087969271096,0.6596366847321845,0.7891196827912139,0.9718909912101491,0.9731714198944174,0.7188704560518407,0.99635586498634,0.7199474198703513,0.0,0.9510046089133617,0.8403798184752762,0.7654579963362939
vomiting,0.9485451204345471,0.9334040149288098,0.9379211662406595,0.9020264031204706,0.9350457715560311,0.9490224500666867,0.9385130692274085,0.914405797882372,0.9477646735476145,0.8608567742747467,0.9597788332033742,0.9663717066358882,0.9557449777380116,0.989010989010989,0.9521929938455945,0.9510046089133617,0.0,0.9618198837193972,0.9502287217370949
other_symptoms,0.850980240671511,0.870145986470261,0.9607177332735108,0.9065794984314459,0.8300871058842705,0.8130174649669925,0.8446406760637771,0.8540814054529082,0.8194583284263918,0.8699974446999744,0.9780713101972603,0.9754133226465305,0.8572521239571899,0.9969342458838725,0.8539080713250583,0.8403798184752762,0.9618198837193972,0.0,0.8497137023119077
loss_of_smell_or_taste,0.7498611404668629,0.799825640389076,0.9548088693774913,0.8694054050169682,0.7038477157771322,0.682627278056292,0.7436539817305037,0.724119133435091,0.7111071726238947,0.8018857915815718,0.9733828435684664,0.9746077709710976,0.7726238421863567,0.9964765173657358,0.7660853058536397,0.7654579963362939,0.9502287217370949,0.8497137023119077,0.0
