,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7207354891403949,0.9590171799778755,0.8692527833498016,0.6847596515559423,0.6355687184025773,0.7090369028511299,0.7577649546192573,0.6610404596912115,0.8055244987222332,0.9747473825287676,0.9765766752459705,0.7753586190297983,0.996551384189566,0.7713689831853937,0.693322704233396,0.9485409651066311,0.7498903232545422
fever,0.7207354891403949,0.0,0.9448895540679404,0.8672828776507638,0.7227797136067572,0.7165572967093389,0.7251816098837436,0.7625686680263805,0.7076358874682545,0.8028838375667368,0.9728025636188148,0.9733424994453772,0.8452924118574289,0.9952781810485165,0.8463188152524801,0.7852815241854559,0.9334015159019777,0.7998264983999457
altered_consciousness,0.9590171799778755,0.9448895540679404,0.0,0.9372808239031959,0.938488162529696,0.9567735807220736,0.9427810254468377,0.9319034220555302,0.952173007566767,0.9279157347403032,0.9621017201482273,0.9613106469555516,0.9582357310175399,0.9862030772194265,0.9531196383988262,0.9561217027500468,0.9378936682851656,0.9548133674273492
diarrhoea,0.8692527833498016,0.8672828776507638,0.9372808239031959,0.0,0.8342266746900235,0.8574533546748887,0.8416596746259674,0.8230529389025656,0.852477997286036,0.8094715943799633,0.9624653176425565,0.9625826839774824,0.8776807840759089,0.9939226482641357,0.8684890554092803,0.8679862137621044,0.9020150978450037,0.8693846164902371
fatigue,0.6847596515559423,0.7227797136067572,0.938488162529696,0.8342266746900235,0.0,0.5853545236874415,0.6082751889216785,0.6533480526571941,0.5780408543475557,0.7242010731971402,0.968891884439815,0.968750191820174,0.7587021262486511,0.9954538456096841,0.745853746306725,0.6889527398291503,0.9350338941308043,0.7038563200012953
headache,0.6355687184025773,0.7165572967093389,0.9567735807220736,0.8574533546748887,0.5853545236874415,0.0,0.6086077679504965,0.7021473190395455,0.52187687071627,0.7489777927583391,0.9739376987939093,0.9750651635873274,0.7228574334065119,0.9965659084601268,0.7232592363101231,0.6270453465191592,0.9490185446559457,0.6826496228464186
joint_pain,0.7090369028511299,0.7251816098837436,0.9427810254468377,0.8416596746259674,0.6082751889216785,0.6086077679504965,0.0,0.6929042589830959,0.4978728502054102,0.748518756237548,0.9695035588548716,0.9688447262081571,0.7830549135301376,0.9954137734146207,0.7683711619223849,0.7042900822127931,0.9385043788324438,0.74364129874592
loss_of_appetite,0.7577649546192573,0.7625686680263805,0.9319034220555302,0.8230529389025656,0.6533480526571941,0.7021473190395455,0.6929042589830959,0.0,0.6984841158343801,0.695626887792432,0.9639267318886958,0.9657656448715564,0.8016652810548357,0.994785968595658,0.7861303878479451,0.7561148896894825,0.9143868115156758,0.7241121105712958
muscle_ache,0.6610404596912115,0.7076358874682545,0.952173007566767,0.852477997286036,0.5780408543475557,0.52187687071627,0.4978728502054102,0.6984841158343801,0.0,0.7594021415206517,0.9731606932742862,0.9729636105977608,0.7530653751998003,0.9962833134864063,0.747213635500307,0.6596340712738143,0.947757873210634,0.7111056821774495
nausea,0.8055244987222332,0.8028838375667368,0.9279157347403032,0.8094715943799633,0.7242010731971402,0.7489777927583391,0.748518756237548,0.695626887792432,0.7594021415206517,0.0,0.9614118635758807,0.9633903111706686,0.8249319894393041,0.9938084947287981,0.8085432878752857,0.7891454090759166,0.8608611521882767,0.8018868706493971
nose_bleed,0.9747473825287676,0.9728025636188148,0.9621017201482273,0.9624653176425565,0.968891884439815,0.9739376987939093,0.9695035588548716,0.9639267318886958,0.9731606932742862,0.9614118635758807,0.0,0.9673435557397431,0.9664428591411386,0.9882697947214076,0.9640777053550237,0.9718949942735109,0.9597935805829647,0.9733847934534294
rash,0.9765766752459705,0.9733424994453772,0.9613106469555516,0.9625826839774824,0.968750191820174,0.9750651635873274,0.9688447262081571,0.9657656448715564,0.9729636105977608,0.9633903111706686,0.9673435557397431,0.0,0.9731311600541556,0.9888707037643207,0.9689998967776409,0.9731753809703301,0.9663859559127375,0.9746118465881437
runny_nose,0.7753586190297983,0.8452924118574289,0.9582357310175399,0.8776807840759089,0.7587021262486511,0.7228574334065119,0.7830549135301376,0.8016652810548357,0.7530653751998003,0.8249319894393041,0.9664428591411386,0.9731311600541556,0.0,0.9956258655033146,0.5890252333588043,0.7188631679877475,0.9557366353771387,0.7726154532609504
seizures,0.996551384189566,0.9952781810485165,0.9862030772194265,0.9939226482641357,0.9954538456096841,0.9965659084601268,0.9954137734146207,0.994785968595658,0.9962833134864063,0.9938084947287981,0.9882697947214076,0.9888707037643207,0.9956258655033146,0.0,0.9954536132889527,0.9963580280914349,0.989031114612052,0.9964783042827963
sneezing,0.7713689831853937,0.8463188152524801,0.9531196383988262,0.8684890554092803,0.745853746306725,0.7232592363101231,0.7683711619223849,0.7861303878479451,0.747213635500307,0.8085432878752857,0.9640777053550237,0.9689998967776409,0.5890252333588043,0.9954536132889527,0.0,0.7199490197648504,0.9521906487690586,0.7661082614018503
sore_throat,0.693322704233396,0.7852815241854559,0.9561217027500468,0.8679862137621044,0.6889527398291503,0.6270453465191592,0.7042900822127931,0.7561148896894825,0.6596340712738143,0.7891454090759166,0.9718949942735109,0.9731753809703301,0.7188631679877475,0.9963580280914349,0.7199490197648504,0.0,0.951004300700987,0.7654508779471578
vomiting,0.9485409651066311,0.9334015159019777,0.9378936682851656,0.9020150978450037,0.9350338941308043,0.9490185446559457,0.9385043788324438,0.9143868115156758,0.947757873210634,0.8608611521882767,0.9597935805829647,0.9663859559127375,0.9557366353771387,0.989031114612052,0.9521906487690586,0.951004300700987,0.0,0.9502167379207047
loss_of_smell_or_taste,0.7498903232545422,0.7998264983999457,0.9548133674273492,0.8693846164902371,0.7038563200012953,0.6826496228464186,0.74364129874592,0.7241121105712958,0.7111056821774495,0.8018868706493971,0.9733847934534294,0.9746118465881437,0.7726154532609504,0.9964783042827963,0.7661082614018503,0.7654508779471578,0.9502167379207047,0.0
