,tested_at_week,mean_age,std_age,count
0,1,35.44747671504265,10.475474951601395,150419
1,2,36.03428773418169,10.324340351573232,124476
2,3,36.06060179977503,10.230421627102237,92456
3,4,36.055772213271496,10.141577014845417,66413
4,5,35.9316918988565,10.133909665845486,49672
5,6,35.939386761415975,10.093281576987499,37995
6,7,35.85080922327064,10.115342637019578,32006
7,8,35.84104301708898,10.117918075430781,20364
8,9,35.43100794286066,10.161803494997047,16241
9,10,35.37369286418941,10.073730679302013,15205
10,11,35.57613258069185,9.76894687866957,13818
11,12,35.61401389308366,9.779222890853784,6622
12,48,36.91441128845709,10.261688544104143,4323
13,49,36.68610687022901,10.127612167428238,45850
14,50,36.29968638225079,10.154008113902222,77164
15,51,36.06105081196084,10.11765218273068,120326
16,52,36.32638980196222,10.204372837025337,159717
17,53,35.46059159360665,10.348466763246087,181814
