,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,733874.0,257139.0,28972.0,105937.0,318798.0,424861.0,275921.0,222976.0,354596.0,161796.0,18127.0,16919.0,209790.0,2366.0,203122.0,290896.0,37487.0,250788.0
fever,257139.0,482866.0,25809.0,77454.0,235083.0,302451.0,208515.0,170936.0,261325.0,124954.0,13087.0,13164.0,123939.0,2116.0,115966.0,180613.0,33523.0,171189.0
altered_consciousness,28972.0,25809.0,49864.0,14368.0,38439.0,39271.0,31696.0,29583.0,35593.0,23820.0,2935.0,2857.0,19192.0,680.0,19880.0,25475.0,6355.0,27460.0
diarrhoea,105937.0,77454.0,14368.0,200054.0,119304.0,138159.0,102084.0,96566.0,120533.0,81885.0,8268.0,8196.0,69481.0,1144.0,69445.0,87363.0,23558.0,90952.0
fatigue,318798.0,235083.0,38439.0,119304.0,629464.0,441790.0,324336.0,277174.0,395808.0,200169.0,19932.0,19476.0,200498.0,2681.0,201018.0,273230.0,42237.0,270567.0
headache,424861.0,302451.0,39271.0,138159.0,441790.0,914563.0,400790.0,304534.0,513889.0,242126.0,24247.0,22512.0,280934.0,3037.0,272567.0,389259.0,47483.0,347003.0
joint_pain,275921.0,208515.0,31696.0,102084.0,324336.0,400790.0,544447.0,226681.0,427664.0,169546.0,17121.0,16751.0,168600.0,2395.0,171661.0,244375.0,34632.0,225597.0
loss_of_appetite,222976.0,170936.0,29583.0,96566.0,277174.0,304534.0,226681.0,426708.0,267471.0,170994.0,15776.0,14821.0,140701.0,2068.0,142737.0,188968.0,38356.0,218760.0
muscle_ache,354596.0,261325.0,35593.0,120533.0,395808.0,513889.0,427664.0,267471.0,732370.0,199555.0,20068.0,19637.0,220895.0,2654.0,218878.0,315363.0,39539.0,285982.0
nausea,161796.0,124954.0,23820.0,81885.0,200169.0,242126.0,169546.0,170994.0,199555.0,311873.0,12572.0,11743.0,107257.0,1809.0,110397.0,147663.0,46136.0,147067.0
nose_bleed,18127.0,13087.0,2935.0,8268.0,19932.0,24247.0,17121.0,15776.0,20068.0,12572.0,33741.0,2041.0,15427.0,380.0,15135.0,16451.0,3557.0,16375.0
rash,16919.0,13164.0,2857.0,8196.0,19476.0,22512.0,16751.0,14821.0,19637.0,11743.0,2041.0,33193.0,12829.0,390.0,13359.0,15526.0,3106.0,15130.0
runny_nose,209790.0,123939.0,19192.0,69481.0,200498.0,280934.0,168600.0,140701.0,220895.0,107257.0,15427.0,12829.0,445133.0,1970.0,239670.0,212810.0,21581.0,180681.0
seizures,2366.0,2116.0,680.0,1144.0,2681.0,3037.0,2395.0,2068.0,2654.0,1809.0,380.0,390.0,1970.0,4244.0,1826.0,2051.0,663.0,2049.0
sneezing,203122.0,115966.0,19880.0,69445.0,201018.0,272567.0,171661.0,142737.0,218878.0,110397.0,15135.0,13359.0,239670.0,1826.0,400236.0,203264.0,21424.0,178028.0
sore_throat,290896.0,180613.0,25475.0,87363.0,273230.0,389259.0,244375.0,188968.0,315363.0,147663.0,16451.0,15526.0,212810.0,2051.0,203264.0,569481.0,29129.0,210915.0
vomiting,37487.0,33523.0,6355.0,23558.0,42237.0,47483.0,34632.0,38356.0,39539.0,46136.0,3557.0,3106.0,21581.0,663.0,21424.0,29129.0,65328.0,30815.0
loss_of_smell_or_taste,250788.0,171189.0,27460.0,90952.0,270567.0,347003.0,225597.0,218760.0,285982.0,147067.0,16375.0,15130.0,180681.0,2049.0,178028.0,210915.0,30815.0,590342.0
