,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0,0.732029958,0.961621421,0.872034618,0.694776044,0.652745552,0.724726454,0.762188111,0.680998135,0.816950867,0.975813015,0.977441965,0.783550637,0.996785658,0.781812069,0.712673911,0.950780331,0.766376384
fever,0.732029958,0,0.949096404,0.872042016,0.732030838,0.723787084,0.74533459,0.768598935,0.726051724,0.813434919,0.974011066,0.973829839,0.84583651,0.995637113,0.848830722,0.792815829,0.93484187,0.810206573
altered_consciousness,0.961621421,0.949096404,0,0.939011241,0.940033798,0.957562649,0.943675891,0.933834798,0.952344535,0.929523319,0.963609086,0.96436945,0.959662961,0.987250534,0.953804278,0.95710249,0.941674247,0.955198864
diarrhoea,0.872034618,0.872042016,0.939011241,0,0.831991935,0.858480344,0.8410702,0.817825334,0.851520026,0.809563561,0.963343265,0.963585957,0.879280756,0.994369635,0.869145058,0.871907072,0.902569319,0.86995894
fatigue,0.694776044,0.732030838,0.940033798,0.831991935,0,0.599197806,0.618240416,0.644184837,0.590280826,0.729938865,0.969014917,0.969719585,0.770616675,0.995751209,0.757421913,0.704852844,0.935275899,0.714952139
headache,0.652745552,0.723787084,0.957562649,0.858480344,0.599197806,0,0.621263165,0.706257463,0.546456035,0.754008957,0.973765659,0.97567123,0.739588606,0.996683661,0.738467679,0.64445297,0.949070633,0.700319718
joint_pain,0.724726454,0.74533459,0.943675891,0.8410702,0.618240416,0.621263165,0,0.695508442,0.496336817,0.753116118,0.96948784,0.970134272,0.794627305,0.995617696,0.777916774,0.718952662,0.939766661,0.751862415
loss_of_appetite,0.762188111,0.768598935,0.933834798,0.817825334,0.644184837,0.706257463,0.695508442,0,0.700016824,0.698716232,0.964531176,0.966702618,0.807580889,0.995175514,0.791400964,0.765898349,0.915456323,0.725972518
muscle_ache,0.680998135,0.726051724,0.952344535,0.851520026,0.590280826,0.546456035,0.496336817,0.700016824,0,0.763758842,0.973105711,0.973675249,0.769088921,0.996385317,0.760445304,0.680331849,0.947848395,0.724158886
nausea,0.816950867,0.813434919,0.929523319,0.809563561,0.729938865,0.754008957,0.753116118,0.698716232,0.763758842,0,0.962249194,0.96477464,0.834936783,0.994244298,0.816533019,0.798741384,0.860603717,0.805249427
nose_bleed,0.975813015,0.974011066,0.963609086,0.963343265,0.969014917,0.973765659,0.96948784,0.964531176,0.973105711,0.962249194,0,0.968528451,0.966716511,0.989893617,0.963856802,0.97197614,0.962758996,0.973063879
rash,0.977441965,0.973829839,0.96436945,0.963585957,0.969719585,0.97567123,0.970134272,0.966702618,0.973675249,0.96477464,0.968528451,0,0.972435557,0.989471979,0.968195474,0.973553958,0.967459311,0.975131084
runny_nose,0.783550637,0.84583651,0.959662961,0.879280756,0.770616675,0.739588606,0.794627305,0.807580889,0.769088921,0.834936783,0.966716511,0.972435557,0,0.995594596,0.604303149,0.734582468,0.955850287,0.78863864
seizures,0.996785658,0.995637113,0.987250534,0.994369635,0.995751209,0.996683661,0.995617696,0.995175514,0.996385317,0.994244298,0.989893617,0.989471979,0.995594596,0,0.995462594,0.99641214,0.990379453,0.996541918
sneezing,0.781812069,0.848830722,0.953804278,0.869145058,0.757421913,0.738467679,0.777916774,0.791400964,0.760445304,0.816533019,0.963856802,0.968195474,0.604303149,0.995462594,0,0.734780924,0.951765969,0.78093187
sore_throat,0.712673911,0.792815829,0.95710249,0.871907072,0.704852844,0.64445297,0.718952662,0.765898349,0.680331849,0.798741384,0.97197614,0.973553958,0.734582468,0.99641214,0.734780924,0,0.951900327,0.777747333
vomiting,0.950780331,0.93484187,0.941674247,0.902569319,0.935275899,0.949070633,0.939766661,0.915456323,0.947848395,0.860603717,0.962758996,0.967459311,0.955850287,0.990379453,0.951765969,0.951900327,0,0.950670651
loss_of_smell_or_taste,0.766376384,0.810206573,0.955198864,0.86995894,0.714952139,0.700319718,0.751862415,0.725972518,0.724158886,0.805249427,0.973063879,0.975131084,0.78863864,0.996541918,0.78093187,0.777747333,0.950670651,0
