,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.7320299579725534,0.961621421095168,0.8720346178139715,0.6947760443842358,0.6527455517134004,0.7247264543212636,0.7621881112720431,0.6809981351759079,0.8169508667414075,0.9758130151809087,0.9774419652498021,0.783550636640051,0.9967856584643194,0.7818120690747816,0.7126739111968883,0.9507803310368005,0.8535370052084694,0.7663763838738407
fever,0.7320299579725534,0.0,0.9490964039619743,0.872042016251569,0.7320308376622562,0.7237870838413312,0.745334590469863,0.7685989350568823,0.7260517239571868,0.8134349193836158,0.9740110660507386,0.9738298392725407,0.845836509963945,0.9956371134020618,0.8488307219021299,0.7928158288995804,0.9348418698547227,0.8723870335035337,0.8102065726762653
altered_consciousness,0.961621421095168,0.9490964039619743,0.0,0.9390112409155743,0.9400337982807504,0.9575626491646778,0.9436758910844453,0.9338347984257993,0.9523445347762614,0.9295233190983104,0.9636090859495114,0.9643694502643919,0.9596629612581995,0.9872505335679784,0.9538042783458427,0.9571024899214259,0.941674246809449,0.962420155069902,0.9551988641000114
diarrhoea,0.8720346178139715,0.872042016251569,0.9390112409155743,0.0,0.8319919347117166,0.8584803442646791,0.8410701999620187,0.8178253341330648,0.851520026013248,0.8095635613616122,0.9633432645243669,0.9635859568682856,0.8792807564840998,0.9943696354043625,0.8691450584434545,0.8719070717909702,0.9025693186798647,0.9063807653191935,0.8699589395187117
fatigue,0.6947760443842358,0.7320308376622562,0.9400337982807504,0.8319919347117166,0.0,0.5991978058966075,0.6182404158422135,0.6441848373782825,0.5902808258316702,0.7299388650294746,0.9690149165559001,0.9697195854809494,0.7706166754759894,0.9957512087898156,0.7574219131828335,0.7048528439510675,0.9352758992182842,0.8318488694150231,0.7149521387439133
headache,0.6527455517134004,0.7237870838413312,0.9575626491646778,0.8584803442646791,0.5991978058966075,0.0,0.621263164857803,0.70625746348559,0.5464560354939239,0.7540089566553151,0.9737656592241163,0.9756712297971774,0.7395886055414963,0.9966836614910529,0.7384676791819025,0.6444529697883127,0.9490706331663465,0.8154285804330436,0.7003197183852753
joint_pain,0.7247264543212636,0.745334590469863,0.9436758910844453,0.8410701999620187,0.6182404158422135,0.621263164857803,0.0,0.6955084419047312,0.49633681731193874,0.7531161176086856,0.9694878398730962,0.970134271863528,0.7946273049066588,0.9956176961602671,0.7779167739323133,0.718952662334003,0.9397666614504547,0.8480768840344324,0.7518624150185499
loss_of_appetite,0.7621881112720431,0.7685989350568823,0.9338347984257993,0.8178253341330648,0.6441848373782825,0.70625746348559,0.6955084419047312,0.0,0.7000168240651428,0.6987162319310437,0.9645311755021995,0.9667026176834064,0.8075808887089538,0.9951755142775863,0.7914009643477791,0.7658983491807848,0.9154563229209605,0.8520722697256105,0.7259725178293369
muscle_ache,0.6809981351759079,0.7260517239571868,0.9523445347762614,0.851520026013248,0.5902808258316702,0.5464560354939239,0.49633681731193874,0.7000168240651428,0.0,0.7637588421582265,0.9731057112831621,0.973675249425537,0.7690889209932658,0.9963853172759489,0.7604453044285289,0.6803318489203455,0.9478483951170935,0.8236483875123459,0.7241588857164905
nausea,0.8169508667414075,0.8134349193836158,0.9295233190983104,0.8095635613616122,0.7299388650294746,0.7540089566553151,0.7531161176086856,0.6987162319310437,0.7637588421582265,0.0,0.9622491937566436,0.9647746399008733,0.8349367828917499,0.994244297591132,0.8165330186719406,0.7987413839869258,0.860603717274482,0.8725520479397048,0.805249427250937
