,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.732035502255625,0.961614593132176,0.8720553725825523,0.6947957952783044,0.6527710579481781,0.7247396249002395,0.7621858221897044,0.6810177322317856,0.8169627049463148,0.9758141557970241,0.977445784031951,0.7835469249920296,0.9967842425165001,0.7818210331389879,0.7126836741043341,0.9507860551518612,0.7663671899745488
fever,0.732035502255625,0.0,0.9490867413265578,0.8720753931682373,0.7320218820925007,0.7237834915404693,0.7453401205181254,0.7685794665316433,0.726048866194016,0.8134416267906865,0.9740089768033048,0.9738235615784607,0.8458585180210432,0.9956370594275393,0.8488325407750386,0.7928117980943729,0.9348651857205865,0.810215749335657
altered_consciousness,0.961614593132176,0.9490867413265578,0.0,0.9390023349607302,0.9400223751694912,0.9575520236587127,0.9436630733272309,0.9338171632858974,0.9523291648864716,0.9295093173767522,0.9636172059005826,0.9643765586034913,0.9596641481279096,0.9872725911507075,0.9537910836316303,0.9571034064694294,0.9416099304464475,0.9551853459671708
diarrhoea,0.8720553725825523,0.8720753931682373,0.9390023349607302,0.0,0.8320168287304953,0.8585100434427287,0.8410938689355979,0.8178673547141058,0.851540416139605,0.8095883657875277,0.9633392010712686,0.9635815881733474,0.879311662549982,0.9943688039615267,0.8691802691934557,0.8719340576863313,0.9025820431388117,0.8699652867134466
fatigue,0.6947957952783044,0.7320218820925007,0.9400223751694912,0.8320168287304953,0.0,0.5991878334695714,0.6182373539711032,0.6441916410568448,0.5902718974437541,0.7299276277443171,0.96901471070603,0.9697192547665432,0.7706232360407689,0.9957513703851024,0.7574244402557314,0.7048443635460158,0.935274421313146,0.7149643029837586
headache,0.6527710579481781,0.7237834915404693,0.9575520236587127,0.8585100434427287,0.5991878334695714,0.0,0.621260229441893,0.7062572282073467,0.5464527414645857,0.7540144873058284,0.973760276692888,0.9756691207940824,0.7395774044691971,0.996683665112419,0.7384776134296395,0.6444425161104692,0.9490748685124967,0.7003174707358654
joint_pain,0.7247396249002395,0.7453401205181254,0.9436630733272309,0.8410938689355979,0.6182373539711032,0.621260229441893,0.0,0.6955152228284668,0.4963640239155959,0.753126938410598,0.9694849278250192,0.9701349108290589,0.7946356793100928,0.9956159298255891,0.7779351687274101,0.7189648014554605,0.9397854098893667,0.7518708919568144
loss_of_appetite,0.7621858221897044,0.7685794665316433,0.9338171632858974,0.8178673547141058,0.6441916410568448,0.7062572282073467,0.6955152228284668,0.0,0.7000124494311956,0.6987351718767343,0.9645222444357989,0.9667003684730835,0.8075594277429767,0.9951781833782561,0.7913833094370564,0.7659030178848172,0.9154558278963146,0.7259642485813427
muscle_ache,0.6810177322317856,0.726048866194016,0.9523291648864716,0.851540416139605,0.5902718974437541,0.5464527414645857,0.4963640239155959,0.7000124494311956,0.0,0.7637530070274469,0.9731007462036371,0.9736743323064219,0.7690851425035125,0.9963839991280179,0.7604560657000771,0.680317449375968,0.9478486702657358,0.7241499715451467
nausea,0.8169627049463148,0.8134416267906865,0.9295093173767522,0.8095883657875277,0.7299276277443171,0.7540144873058284,0.753126938410598,0.6987351718767343,0.7637530070274469,0.0,0.9622510073804506,0.9647699078671439,0.8349254866109836,0.9942444990264326,0.8165285053314543,0.7987395238594994,0.8606436802440608,0.8052474481823431
nose_bleed,0.9758141557970241,0.9740089768033048,0.9636172059005826,0.9633392010712686,0.96901471070603,0.973760276692888,0.9694849278250192,0.9645222444357989,0.9731007462036371,0.9622510073804506,0.0,0.9685482255405051,0.9667124827650195,0.9898949607764925,0.9638646554070509,0.9719635087623621,0.9627586062484296,0.9730544932763762
