,X1,X2
304108,6.002818094,-4.237458566
932745,-2.68501297,1.717112373
295846,6.747697197,-4.616675195
1018756,9.53200004,-3.491382159
126055,10.30343776,-0.249766466
1431130,10.37050076,-4.593266366
345167,0.598613755,4.179069195
867188,-6.235290583,2.349108875
871806,2.960931761,7.263116875
1509950,3.616307438,-5.953065165
249732,10.71354656,1.126550259
1370664,-1.154800984,-7.162764152
1248184,12.66014231,0.333754074
148452,14.72220436,0.653943264
279106,12.66014231,0.333754074
501115,2.638088154,-1.605394913
1285936,9.087397218,-4.846873019
753795,14.72220436,0.653943264
1473577,7.655317873,0.91320136
1229814,6.687239472,3.805988701
216904,13.8099934,-0.792545434
688386,12.61642034,0.422971608
1359951,11.12042819,0.493047269
1431857,7.288221057,-3.193718632
330424,10.21558579,-6.303321099
1180550,12.66014231,0.333754074
1094877,9.391226804,-1.696255164
1609864,14.51151754,-1.162717075
492778,5.838264514,-7.329655706
1420067,1.038125018,-3.519623595
555216,12.69315757,3.842209857
166742,12.71560106,5.162687015
1631754,10.33645302,3.258689318
1462166,3.235294759,-8.838681564
1566061,7.594731279,-4.240068523
1631875,3.90391684,-0.797464232
1188274,-6.445977402,0.532448536
1344248,4.603098936,0.420703738
376316,6.900438816,2.169543735
1282217,0.346983239,1.185134577
1188166,5.095295055,-6.836859188
466736,14.51151754,-1.162717075
214903,2.848006193,6.381932808
584318,-9.776541518,-5.404143969
1263761,7.677914489,8.816917319
360662,-3.293247148,-2.990975996
1352277,13.50013805,-0.187925213
1079234,8.520620556,-2.516590297
1375184,14.97912567,-1.071719237
686908,11.21416995,4.726003881
237731,10.81659861,-2.657570586
1348522,-3.651455909,-4.065495397
342662,8.520620556,-2.516590297
580011,12.61642034,0.422971608
1244409,4.627686922,-6.927857027
1441710,12.64900472,0.288565855
495133,14.72220436,0.653943264
1086317,12.76319436,-3.450366771
1587600,6.68974897,-6.607667837
107302,1.820378768,-6.788657042
1512094,14.72220436,0.653943264
676678,4.423577025,-5.334601489
1469775,0.010015187,5.430424902
1360470,1.502681127,4.823620406
888727,14.97912567,-1.071719237
1202247,10.88497071,0.728717422
529275,14.05414025,0.184044084
179738,-2.633788601,-6.278970128
1048086,14.72220436,0.653943264
1499676,5.346215586,-6.484310304
119397,7.3137671,-4.226410345
1031061,9.601913623,0.120405175
566179,8.940635392,6.187461328
493379,-2.515783667,-3.504598378
509075,11.28420674,-2.566572748
223096,12.06167022,-3.080195131
1309779,8.473027259,6.096463489
1633955,10.41962301,5.303667304
111461,3.859385677,5.407140946
973231,7.198300801,-5.33939572
1398201,12.21553949,-1.021736786
1081315,4.009959644,-3.587246155
1594960,7.141727002,10.23253815
556692,14.95612036,0.192773785
758053,10.08161335,-2.111615024
1101507,7.689052081,8.862105538
931414,12.59941581,-0.390746755
282278,11.99163343,4.212381498
1178974,2.314352559,6.601124644
1195666,-0.697423694,-8.509525311
1486955,5.095295055,-6.836859188
1014303,9.929571381,3.892192308
365319,-1.53536557,-5.432305373
510980,7.414278418,-8.242332499
694461,-6.001374581,1.887939396
935825,13.82572085,0.35922318
692263,3.069698275,-3.87283879
590040,9.75111413,9.182294728
689443,7.689052081,8.862105538
672952,5.367890302,1.006834235
6600,4.7221235,-2.654204739
459798,9.644925607,-2.610198092
638821,-1.18537587,-2.124182829
1294924,-2.469239047,-7.208942644
1278369,11.81362095,5.153957314
350267,10.45263827,8.812123087
159204,12.66014231,0.333754074
248011,5.195837605,-0.207323496
149473,2.730680079,-5.455748232
1198493,-4.372777762,0.897825946
53790,5.22642678,-1.121985389
1599964,10.35889651,4.579166475
736829,1.820378768,-6.788657042
1229322,0.341391151,-5.904863018
1318285,-2.501592623,1.969201062
741149,10.52267506,1.519546459
1339821,1.182105849,-1.98609391
619478,10.45263827,8.812123087
851419,9.555005351,-4.75587518
509138,4.210287157,2.584954932
1486495,-11.28661325,1.98481627
92248,12.36549981,0.070422724
340569,14.72220436,0.653943264
1337486,6.58391865,-1.557055179
382373,9.087397218,-4.846873019
711840,14.95612036,0.192773785
862012,2.10988446,-8.648725296
536500,5.899449001,0.058326375
1305505,11.13743272,1.306765632
57824,3.733255529,-1.408810205
930278,8.165937991,-1.726404069
591650,7.42995235,1.327023425
682265,3.552336823,-2.360446874
1131948,9.391226804,-1.696255164
719475,6.941379487,-3.61373322
282489,0.805457469,7.413849557
109286,12.71560106,5.162687015
68485,5.569703982,-4.34928227
832890,2.320571279,-6.832064957
1307045,5.979812783,-2.972965545
572215,1.895148376,-4.229134461
954070,1.071226369,-5.72315352
1266793,0.734295433,-6.67024145
129611,0.136619078,6.588598496
1522636,1.037356239,2.651043786
1554821,3.242441061,-1.811106391
1197023,14.72220436,0.653943264
1271078,-1.424719221,1.552627131
268751,2.721128121,-3.565215785
1455292,6.75890274,4.97384954
793500,1.718658743,1.920683627
73083,2.481672218,1.265834005
602491,7.164157898,-4.120090918
258674,9.770982968,-7.658811959
1293674,1.543107798,-6.318442574
108305,8.792754717,-5.110204369
257110,-1.221578093,4.80206218
624984,7.759088873,1.56952891
1203661,6.214584489,4.484233167
879273,-1.365487803,-8.979424491
837275,2.730680079,-5.455748232
1454159,2.527441805,-8.590327417
1206906,9.087397218,-4.846873019
642765,-6.433794103,0.229233144
14150,3.590523855,-3.422080331
1338044,9.53200004,-3.491382159
1427043,7.351488287,-2.237416494
944499,-3.893503302,2.754732563
1055474,8.824450142,0.634027558
930607,-1.632065951,-4.1154952
1338628,13.35052885,-0.081605786
1109546,0.290833475,-1.74148504
1026231,1.808917167,-5.011704483
628497,7.293763986,-0.60304771
909798,3.949168098,-7.822178407
1409142,9.380089212,-1.741443383
953895,10.52267506,1.519546459
1352037,10.9938243,-0.665126326
1361574,12.01407692,5.532858656
849355,0.68575574,7.591238095
1284936,9.380089212,-1.741443383
986291,12.36549981,0.070422724
1172752,14.72220436,0.653943264
754775,4.67383538,5.918153372
484516,7.689052081,8.862105538
823933,7.759088873,1.56952891
586899,6.763707925,-1.921937775
227224,14.72220436,0.653943264
861279,6.210064465,9.745899562
626552,12.14881221,0.33197377
810829,6.06783332,5.768443382
1225707,10.10621393,6.212930434
927797,9.999608173,-3.400384321
967531,0.778448281,-3.116597448
216795,6.06790129,-5.172946325
1398395,8.04142136,-2.248756152
1054079,-2.356595398,-2.480830537
891022,3.72570681,-6.936586727
514189,7.13157352,-3.985685165
1299551,-1.380566372,5.106271133
193206,10.30343776,-0.249766466
641194,11.95861817,0.703925715
1119898,0.853766961,-6.251486325
152836,7.29148074,1.478531071
1371318,10.51941537,-3.152703245
118415,9.606769648,-0.931859578
1509938,14.97912567,-1.071719237
933173,6.426042081,6.842962783
368616,12.64900472,0.288565855
1244824,14.51151754,-1.162717075
735043,0.418128378,-2.485624769
945841,3.839085849,-6.459422863
1305084,3.82166449,3.418147096
670004,13.94474088,1.167565647
404036,2.137608919,-0.420672395
850128,9.75111413,9.182294728
709781,10.08675016,0.01178458
261502,1.001921761,3.158806839
974173,2.287986901,-6.697659203
