"","V1"
"cough",-0.0595038120703053
"fever",-0.0990814162243971
"altered_consciousness",-0.309793974806203
"diarrhoea",-0.178170904589942
"fatigue",-0.314335782822452
"headache",-0.318172561792301
"joint_pain",-0.400700605715814
"loss_of_appetite",-0.267346658557397
"muscle_ache",-0.406234118918385
"nausea",-0.270489356773265
"nose_bleed",-0.165625461763487
"rash",-0.149943296249597
"runny_nose",-0.0855354060202343
"seizures",-0.0728956665082003
"sneezing",-0.131338705302113
"sore_throat",-0.135824345905613
"vomiting",-0.291886136712917
"loss_of_smell_or_taste",-0.0722348269599238
