"","V1","V2"
"cough",-0.0584510166346282,-0.011374729797448
"fever",-0.0555753526628326,-0.169436357472911
"altered_consciousness",-0.257627042671464,-0.0835741001540481
"diarrhoea",-0.171198530566382,-0.0124659423863453
"fatigue",-0.294588068727123,-0.0729400674759231
"headache",-0.345448273021701,0.00624780635399484
"joint_pain",-0.318451070998468,-0.356619290992762
"loss_of_appetite",-0.259149955040227,-0.0456721761566963
"muscle_ache",-0.332566766962154,-0.466767299319614
"nausea",-0.263223002292135,-0.028871456973985
"nose_bleed",-0.163445433112121,0.0607451483484069
"rash",-0.141299938911874,0.0208061743930147
"runny_nose",-0.28006491246445,0.621239153754302
"seizures",-0.0544029300164734,-0.040493157452091
"sneezing",-0.341321365914251,0.444804779267863
"sore_throat",-0.184873452077955,0.110474252954323
"vomiting",-0.238320353358453,-0.0824410517812092
"loss_of_smell_or_taste",-0.0876905169829252,0.0462714550981571
