,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,507469.0,181293.0,21302.0,74462.0,229042.0,318766.0,206639.0,156174.0,271080.0,119244.0,12930.0,12080.0,152292.0,1676.0,149515.0,219782.0,26301.0,192488.0
fever,181293.0,329056.0,18996.0,54457.0,168577.0,223410.0,158876.0,119303.0,201356.0,91119.0,9206.0,9068.0,87295.0,1494.0,83141.0,133564.0,22662.0,130242.0
altered_consciousness,21302.0,18996.0,36560.0,10235.0,28200.0,29844.0,24080.0,21090.0,27295.0,17592.0,2145.0,2186.0,14508.0,494.0,15025.0,19532.0,4528.0,21159.0
diarrhoea,74462.0,54457.0,10235.0,139716.0,83775.0,102730.0,74980.0,65291.0,90218.0,58539.0,5811.0,5846.0,50597.0,818.0,50847.0,66157.0,16015.0,68716.0
fatigue,229042.0,168577.0,28200.0,83775.0,450967.0,332194.0,241923.0,191634.0,300362.0,146249.0,14169.0,14308.0,149943.0,1963.0,151179.0,208306.0,29500.0,206841.0
headache,318766.0,223410.0,29844.0,102730.0,332194.0,685060.0,307970.0,224598.0,404004.0,182766.0,17839.0,17147.0,217837.0,2256.0,211994.0,302374.0,34603.0,274877.0
joint_pain,206639.0,158876.0,24080.0,74980.0,241923.0,307970.0,410078.0,165362.0,325163.0,127733.0,12721.0,12998.0,130348.0,1824.0,132527.0,191153.0,25736.0,176419.0
loss_of_appetite,156174.0,119303.0,21090.0,65291.0,191634.0,224598.0,165362.0,296434.0,198501.0,121720.0,10994.0,10511.0,102291.0,1464.0,104237.0,141747.0,26175.0,162394.0
muscle_ache,271080.0,201356.0,27295.0,90218.0,300362.0,404004.0,325163.0,198501.0,563620.0,152935.0,15224.0,15350.0,174873.0,2012.0,172939.0,251702.0,29471.0,228407.0
nausea,119244.0,91119.0,17592.0,58539.0,146249.0,182766.0,127733.0,121720.0,152935.0,227663.0,9185.0,8787.0,82160.0,1343.0,84307.0,114062.0,32511.0,112817.0
nose_bleed,12930.0,9206.0,2145.0,5811.0,14169.0,17839.0,12721.0,10994.0,15224.0,9185.0,23733.0,1453.0,11218.0,286.0,11100.0,12266.0,2562.0,12341.0
rash,12080.0,9068.0,2186.0,5846.0,14308.0,17147.0,12998.0,10511.0,15350.0,8787.0,1453.0,23061.0,9075.0,277.0,9597.0,11751.0,2152.0,11805.0
runny_nose,152292.0,87295.0,14508.0,50597.0,149943.0,217837.0,130348.0,102291.0,174873.0,82160.0,11218.0,9075.0,323367.0,1395.0,179887.0,164392.0,15422.0,144065.0
seizures,1676.0,1494.0,494.0,818.0,1963.0,2256.0,1824.0,1464.0,2012.0,1343.0,286.0,277.0,1395.0,2970.0,1324.0,1504.0,465.0,1548.0
sneezing,149515.0,83141.0,15025.0,50847.0,151179.0,211994.0,132527.0,104237.0,172939.0,84307.0,11100.0,9597.0,179887.0,1324.0,296709.0,158047.0,15424.0,142450.0
sore_throat,219782.0,133564.0,19532.0,66157.0,208306.0,302374.0,191153.0,141747.0,251702.0,114062.0,12266.0,11751.0,164392.0,1504.0,158047.0,428125.0,21703.0,167848.0
vomiting,26301.0,22662.0,4528.0,16015.0,29500.0,34603.0,25736.0,26175.0,29471.0,32511.0,2562.0,2152.0,15422.0,465.0,15424.0,21703.0,44121.0,23243.0
loss_of_smell_or_taste,192488.0,130242.0,21159.0,68716.0,206841.0,274877.0,176419.0,162394.0,228407.0,112817.0,12341.0,11805.0,144065.0,1548.0,142450.0,167848.0,23243.0,456879.0
