,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,151685.0,48126.0,6338.0,25814.0,71264.0,79964.0,60261.0,53536.0,70784.0,33926.0,3617.0,2696.0,35990.0,489.0,35680.0,48358.0,7982.0,45378.0
fever,48126.0,82368.0,5251.0,16883.0,45868.0,49095.0,39534.0,35936.0,45505.0,23451.0,2333.0,1855.0,18564.0,373.0,18306.0,26406.0,6330.0,28917.0
altered_consciousness,6338.0,5251.0,10533.0,3676.0,8485.0,7416.0,6629.0,7190.0,7092.0,5146.0,638.0,510.0,3499.0,152.0,3694.0,4416.0,1541.0,5287.0
diarrhoea,25814.0,16883.0,3676.0,47490.0,30494.0,29820.0,24695.0,26834.0,27258.0,19982.0,1941.0,1430.0,13792.0,248.0,14063.0,16652.0,5918.0,19365.0
fatigue,71264.0,45868.0,8485.0,30494.0,134863.0,83879.0,71542.0,70070.0,80706.0,43855.0,4199.0,3249.0,34817.0,518.0,35607.0,46024.0,9662.0,51324.0
headache,79964.0,49095.0,7416.0,29820.0,83879.0,157816.0,78533.0,63566.0,89988.0,45361.0,4311.0,3372.0,42223.0,565.0,42214.0,57867.0,9267.0,53523.0
joint_pain,60261.0,39534.0,6629.0,24695.0,71542.0,78533.0,114681.0,53941.0,87769.0,36176.0,3603.0,2860.0,30998.0,468.0,31991.0,42919.0,7563.0,42427.0
loss_of_appetite,53536.0,35936.0,7190.0,26834.0,70070.0,63566.0,53941.0,100831.0,59548.0,40850.0,3588.0,2612.0,26316.0,440.0,27291.0,34387.0,9265.0,46585.0
muscle_ache,70784.0,45505.0,7092.0,27258.0,80706.0,89988.0,87769.0,59548.0,139415.0,39372.0,3814.0,3149.0,36072.0,508.0,36562.0,49437.0,8265.0,48334.0
nausea,33926.0,23451.0,5146.0,19982.0,43855.0,45361.0,36176.0,40850.0,39372.0,63568.0,2533.0,1981.0,17604.0,346.0,18713.0,23746.0,9975.0,27866.0
nose_bleed,3617.0,2333.0,638.0,1941.0,4199.0,4311.0,3603.0,3588.0,3814.0,2533.0,6346.0,355.0,2659.0,65.0,2549.0,2589.0,697.0,2911.0
rash,2696.0,1855.0,510.0,1430.0,3249.0,3372.0,2860.0,2612.0,3149.0,1981.0,355.0,5054.0,1723.0,73.0,1870.0,2052.0,500.0,2246.0
runny_nose,35990.0,18564.0,3499.0,13792.0,34817.0,42223.0,30998.0,26316.0,36072.0,17604.0,2659.0,1723.0,71016.0,346.0,36337.0,29056.0,3616.0,24907.0
seizures,489.0,373.0,152.0,248.0,518.0,565.0,468.0,440.0,508.0,346.0,65.0,73.0,346.0,804.0,318.0,345.0,126.0,363.0
sneezing,35680.0,18306.0,3694.0,14063.0,35607.0,42214.0,31991.0,27291.0,36562.0,18713.0,2549.0,1870.0,36337.0,318.0,65841.0,28453.0,3709.0,25451.0
sore_throat,48358.0,26406.0,4416.0,16652.0,46024.0,57867.0,42919.0,34387.0,49437.0,23746.0,2589.0,2052.0,29056.0,345.0,28453.0,89422.0,4919.0,29422.0
vomiting,7982.0,6330.0,1541.0,5918.0,9662.0,9267.0,7563.0,9265.0,8265.0,9975.0,697.0,500.0,3616.0,126.0,3709.0,4919.0,13443.0,5997.0
loss_of_smell_or_taste,45378.0,28917.0,5287.0,19365.0,51324.0,53523.0,42427.0,46585.0,48334.0,27866.0,2911.0,2246.0,24907.0,363.0,25451.0,29422.0,5997.0,94330.0
