,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.7233387872719724,0.9592470071422968,0.8700064784595585,0.6860098114221627,0.6352216373847349,0.7092996103475925,0.7588906077757501,0.6611447006751107,0.8063765527319964,0.9750581333642091,0.9767028235552838,0.7756507384370486,0.9967112376204537,0.7716717793285507,0.6930359408270135,0.9499640165866401,0.8521136264726086,0.7506868870318578
fever,0.7233387872719724,0.0,0.9452195890387245,0.8685942693285252,0.724344338974624,0.7175057289269074,0.7262231152453641,0.7643745938054968,0.7087356172210049,0.8042882486608619,0.9732273838630807,0.9735616937540995,0.84561340171521,0.9954888173500508,0.8468427289968354,0.7858419001491508,0.9353599908700552,0.8715558398602054,0.8013800044221137
altered_consciousness,0.9592470071422968,0.9452195890387245,0.0,0.9383493157286045,0.9386075108805222,0.9568689241444112,0.9430353538580214,0.9324012836254404,0.9523663248137728,0.9286652611093091,0.9631330856041839,0.9618941465368607,0.9579970403319925,0.9873923739237392,0.952768750117866,0.9561427948716796,0.9405274771461595,0.9608981761924477,0.9552098526046617
diarrhoea,0.8700064784595585,0.8685942693285252,0.9383493157286045,0.0,0.8347629494018497,0.8577587579893499,0.8420873073869487,0.8239912641384796,0.8528983439199602,0.8104615583868932,0.9631697490721061,0.9627694150936181,0.8773303975013095,0.9942403135750945,0.8681319536496852,0.8681427785353717,0.9045643895374823,0.9070525508957826,0.8698762322326493
fatigue,0.6860098114221627,0.724344338974624,0.9386075108805222,0.8347629494018497,0.0,0.5867577466050289,0.6092654264958121,0.6551884831920601,0.5794832020361678,0.7252770577407115,0.96925398738369,0.9688732458706855,0.7599091494453183,0.9956633234430556,0.7466208852928454,0.6895525592323793,0.9366569582624534,0.8312027202439944,0.7049865644308282
headache,0.6352216373847349,0.7175057289269074,0.9568689241444112,0.8577587579893499,0.5867577466050289,0.0,0.6087047656311533,0.703233707930485,0.5216725266659563,0.7496058030179529,0.9741994401942821,0.9751871276983727,0.7245136235990589,0.9967161193046106,0.7246672971694926,0.6271439178472141,0.9501973849019986,0.8137313137313137,0.682966712986721
joint_pain,0.7092996103475925,0.7262231152453641,0.9430353538580214,0.8420873073869487,0.6092654264958121,0.6087047656311533,0.0,0.694438336877775,0.4986263312715455,0.7495191732721117,0.9698155500256445,0.9690593087429288,0.783908549142897,0.9955723594631395,0.7692530051666403,0.7045729935581191,0.9399460929022321,0.8450556280144607,0.7445352382662177
loss_of_appetite,0.7588906077757501,0.7643745938054968,0.9324012836254404,0.8239912641384796,0.6551884831920601,0.703233707930485,0.694438336877775,0.0,0.6999325905191437,0.6974898922251518,0.9644593217872216,0.9659647317339961,0.802348434924273,0.9950967889169307,0.7868254237738836,0.7567909835643611,0.9167639397341663,0.8547788681556302,0.7252291195414394
muscle_ache,0.6611447006751107,0.7087356172210049,0.9523663248137728,0.8528983439199602,0.5794832020361678,0.5216725266659563,0.4986263312715455,0.6999325905191437,0.0,0.7604201583268851,0.9734133281137496,0.9731398920205458,0.7544617467269757,0.996445617235303,0.7484547180378665,0.6598627597241141,0.949052900950125,0.8198498095410847,0.7116485896657533
nausea,0.8063765527319964,0.8042882486608619,0.9286652611093091,0.8104615583868932,0.7252770577407115,0.7496058030179529,0.7495191732721117,0.6974898922251518,0.7604201583268851,0.0,0.9620967542172058,0.9636785960793715,0.8247910649607727,0.994156331222635,0.8084002445393411,0.7894275291146345,0.864151716125689,0.8705981186771579,0.8026873757342282
nose_bleed,0.9750581333642091,0.9732273838630807,0.9631330856041839,0.9631697490721061,0.96925398738369,0.9741994401942821,0.9698155500256445,0.9644593217872216,0.9734133281137496,0.9620967542172058,0.0,0.9679639925867091,0.9665988617106506,0.9892045454545455,0.9641306210611749,0.9721107923065196,0.9607641867875966,0.9782294155254214,0.9736632543045933
rash,0.9767028235552838,0.9735616937540995,0.9618941465368607,0.9627694150936181,0.9688732458706855,0.9751871276983727,0.9690593087429288,0.9659647317339961,0.9731398920205458,0.9636785960793715,0.9679639925867091,0.0,0.9731058449568271,0.9892009478304782,0.9690744920993228,0.9732595246441205,0.9668691840344535,0.9754334011041252,0.9747897544537033
runny_nose,0.7756507384370486,0.84561340171521,0.9579970403319925,0.8773303975013095,0.7599091494453183,0.7245136235990589,0.783908549142897,0.802348434924273,0.7544617467269757,0.8247910649607727,0.9665988617106506,0.9731058449568271,0.0,0.9957116557995777,0.5914303697661155,0.72011393604045,0.9562113063020828,0.8575178102737158,0.7736107356389768
