,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.7661111158040564,0.982441394707466,0.9307236641221374,0.8146436804650696,0.7826394494420358,0.8948293849417998,0.8543444509287909,0.8608129296827886,0.9007406381947809,0.9793826517322219,0.9724086406553913,0.7924974751118165,0.9973189275710284,0.8096765655603197,0.7805129291256715,0.9595442098754527,0.8887853496475164,0.871675967668262
fever,0.7661111158040564,0.0,0.9783138837987904,0.9215284536188085,0.7812957268582335,0.7352860517166642,0.8753755795981453,0.8154168234851336,0.8326271924224309,0.8729547877881682,0.9789214418876808,0.9698701018703174,0.8257297692026827,0.9965080872698829,0.8461091016773484,0.7989444779839919,0.9392871026984999,0.8803532148232347,0.8782010861826983
altered_consciousness,0.982441394707466,0.9783138837987904,0.0,0.9700902562751169,0.9604118069262516,0.9720820952249326,0.9535416861607561,0.9575979756034259,0.9607448087609268,0.9516932047544292,0.9758615213593774,0.9788256690049364,0.9771877622644388,0.9888233467867122,0.9703961578532767,0.9710049609140108,0.972606745954377,0.9807718238450959,0.975136967791072
diarrhoea,0.9307236641221374,0.9215284536188085,0.9700902562751169,0.0,0.9019386483961382,0.9285895548901183,0.9202290584631775,0.882343592731896,0.9213719504373926,0.8885823500083098,0.9676169042260565,0.9455914357978943,0.9128230514492506,0.9941864854662137,0.9012056044314108,0.9243150855417088,0.9143790505295326,0.9388013037983104,0.9415372035977105
fatigue,0.8146436804650696,0.7812957268582335,0.9604118069262516,0.9019386483961382,0.0,0.7129956636416469,0.7929043850594487,0.7318328869099384,0.7469086901112527,0.8149660115265258,0.9657286762290594,0.9589504323259995,0.799529501525941,0.9954148322193581,0.7871613557703784,0.7530345349656739,0.9363289670038136,0.8735251530400127,0.8237206450601001
headache,0.7826394494420358,0.7352860517166642,0.9720820952249326,0.9285895548901183,0.7129956636416469,0.0,0.8155836732572943,0.8072178105501985,0.7555500679096184,0.82151167250505,0.9713223434210886,0.9733247629760565,0.7941396631537476,0.9969657322606686,0.7977147507450705,0.6926999576809141,0.9523482577868149,0.8487018316917229,0.7985563805154852
joint_pain,0.8948293849417998,0.8753755795981453,0.9535416861607561,0.9202290584631775,0.7929043850594487,0.8155836732572943,0.0,0.8233738126728387,0.5700046904315197,0.8383169462116831,0.9643159442241725,0.9623395750052598,0.8845824885960466,0.9947371059094782,0.8574077027350291,0.8323542849683441,0.9489023030489446,0.9191003227275427,0.8708002856095255
loss_of_appetite,0.8543444509287909,0.8154168234851336,0.9575979756034259,0.882343592731896,0.7318328869099384,0.8072178105501985,0.8233738126728387,0.0,0.8093310825926905,0.7978188121433902,0.9626370863840619,0.9483717235901509,0.8222688952207502,0.9944360141628731,0.7991658014392611,0.8126615175716517,0.9148606358398409,0.8883457412813294,0.8338713258526754
muscle_ache,0.8608129296827886,0.8326271924224309,0.9607448087609268,0.9213719504373926,0.7469086901112527,0.7555500679096184,0.5700046904315197,0.8093310825926905,0.0,0.8308989291752771,0.967512881739349,0.9655630338333384,0.8575771849441185,0.9953611214573528,0.8367917970107751,0.7880072864096515,0.9488835158583416,0.8948500808977934,0.8445635398470227
nausea,0.9007406381947809,0.8729547877881682,0.9516932047544292,0.8885823500083098,0.8149660115265258,0.82151167250505,0.8383169462116831,0.7978188121433902,0.8308989291752771,0.0,0.9635027137911877,0.9605103280680437,0.8827504223237189,0.9942696146315839,0.855556209650517,0.8429906244020665,0.8524636624964573,0.9080875132566086,0.8807589604723758
