,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7233147953701895,0.9592483265643443,0.8699860141813757,0.685983158622089,0.6351802491064511,0.7093308838837092,0.7588899061181451,0.6611538120196148,0.8063868755358117,0.9750517102988392,0.9766997781849744,0.7755606121342168,0.9967057352834228,0.7716153196377373,0.6929612803361777,0.9499304192549244,0.7506179877179799
fever,0.7233147953701895,0.0,0.9451964687554094,0.8685613603176328,0.724297812071712,0.71745503385582,0.7261976569043426,0.7643104228279273,0.7087369091014292,0.8042976804123712,0.9732058920260898,0.9735664584359669,0.8455305700655427,0.9954800140379751,0.8467797222386035,0.7858236706183442,0.9353465614880961,0.8013674082230556
altered_consciousness,0.9592483265643443,0.9451964687554094,0.0,0.9383585981775585,0.9386058298336479,0.9568588676103247,0.9430137401256159,0.9323830409356725,0.9523551847229375,0.9286707672595902,0.9631113709843847,0.9619395838774266,0.9579988361960402,0.9873450148580797,0.9527877980417542,0.9561229509853916,0.9405407534831195,0.9551981875158804
diarrhoea,0.8699860141813757,0.8685613603176328,0.9383585981775585,0.0,0.8347333243902246,0.8577237461325179,0.8420855324400712,0.8239465672937694,0.85285377366184,0.8104552519103743,0.96313706086096,0.9627479592942121,0.8773364429338207,0.9942340767473989,0.8681278496179762,0.868130137696239,0.9045715102906651,0.8698262291168999
fatigue,0.685983158622089,0.724297812071712,0.9386058298336479,0.8347333243902246,0.0,0.5867375437435388,0.6092482580169982,0.6551900346728036,0.57945745388358,0.7252926005999463,0.9692333415122978,0.9688767075611242,0.759857204860416,0.9956568298176444,0.7465553053913095,0.6894598277244903,0.9366392604620394,0.7049364840479027
headache,0.6351802491064511,0.71745503385582,0.9568588676103247,0.8577237461325179,0.5867375437435388,0.0,0.6087620431724867,0.7032643850674333,0.5217053639502011,0.7496208680785307,0.9741820729021035,0.9751843050534463,0.7244627430147106,0.9967102864792191,0.724602643629632,0.6270721536831642,0.9501812611398576,0.6829788411901341
joint_pain,0.7093308838837092,0.7261976569043426,0.9430137401256159,0.8420855324400712,0.6092482580169982,0.6087620431724867,0.0,0.6944248359974129,0.4986191955715574,0.7495470659283776,0.9697903061103327,0.9690627670234516,0.7838689298736355,0.9955644612182168,0.7692212586633232,0.7045776987868017,0.9399341366699108,0.7445194906000828
loss_of_appetite,0.7588899061181451,0.7643104228279273,0.9323830409356725,0.8239465672937694,0.6551900346728036,0.7032643850674333,0.6944248359974129,0.0,0.6999469430264846,0.6974976203908275,0.964440620623405,0.9659820573233565,0.802340051399973,0.9950862589783178,0.7867954167058698,0.7567877806222246,0.9167408868248617,0.725183993068424
muscle_ache,0.6611538120196148,0.7087369091014292,0.9523551847229375,0.85285377366184,0.57945745388358,0.5217053639502011,0.4986191955715574,0.6999469430264846,0.0,0.7604206482984203,0.9733906164518841,0.9731329124447999,0.7544311725369814,0.9964362762984034,0.7484121095738955,0.6598819257799885,0.9490359174779948,0.7116408195007651
nausea,0.8063868755358117,0.8042976804123712,0.9286707672595902,0.8104552519103743,0.7252926005999463,0.7496208680785307,0.7495470659283776,0.6974976203908275,0.7604206482984203,0.0,0.9620785183166743,0.9636806276014004,0.8247701921641393,0.9941427886083126,0.8084214831899833,0.7894470636447207,0.8641259147500971,0.8026726135817045
