,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7411564753908793,0.9593405183474467,0.8510968441575671,0.6689767934449379,0.6516291491132149,0.7076199024768929,0.7309478339531611,0.6787160260716425,0.812901553546907,0.9765759581385107,0.9824983933057653,0.8072422085468987,0.9967828947368421,0.8037900201269206,0.749114132887849,0.9492064704160462,0.7738303503341856
fever,0.7411564753908793,0.0,0.9400912721049629,0.8505598583757469,0.7323342845304995,0.7430778328422881,0.7490143795828968,0.7559740056904993,0.7418566128501571,0.8085398212025963,0.9729917458700409,0.9783210817254315,0.8623052959501558,0.995495114675298,0.8590794669869056,0.8183706597699885,0.9292587253159889,0.8043253192223628
altered_consciousness,0.9593405183474467,0.9400912721049629,0.0,0.9323605718806925,0.9380254325802894,0.953918711513487,0.9440991693721803,0.9309808589475301,0.9503556028448228,0.9253716191719237,0.960716704636414,0.9661736419712145,0.9551697629724536,0.986410371032633,0.9491744634012108,0.953778038288029,0.9313126810786717,0.946904876677111
diarrhoea,0.8510968441575671,0.8505598583757469,0.9323605718806925,0.0,0.7991953061721728,0.8300719145686836,0.820368646163694,0.7791203997135496,0.8292608066546819,0.7806008169001712,0.9625975527507467,0.9720233204210197,0.8682888629982619,0.9948382799816842,0.8583329975420075,0.8615333444204224,0.8924293374534218,0.8418602752031359
fatigue,0.6689767934449379,0.7323342845304995,0.9380254325802894,0.7991953061721728,0.0,0.5982806513409962,0.5980831676048584,0.5769332946915906,0.5830698654764119,0.7162884276989959,0.9693526019998541,0.976227061199403,0.7964656089604939,0.9961671932459729,0.7843267897054459,0.741816774280409,0.9303107238683246,0.7114505619304095
headache,0.6516291491132149,0.7430778328422881,0.953918711513487,0.8300719145686836,0.5982806513409962,0.0,0.5951155884597141,0.6741558634618441,0.5657850928620026,0.7423007220647302,0.9730311352446966,0.9788586690742204,0.7737354575609965,0.9964252949922495,0.7673429120991165,0.6944252287837103,0.9427934712825324,0.7305296969635944
joint_pain,0.7076199024768929,0.7490143795828968,0.9440991693721803,0.820368646163694,0.5980831676048584,0.5951155884597141,0.0,0.6661467713884298,0.4723105689394987,0.7453703377840969,0.9693163237498297,0.9755294117647059,0.7996237855448323,0.9959310362815932,0.7846173526065265,0.7337266726225928,0.9372682708338518,0.7453116745905969
loss_of_appetite,0.7309478339531611,0.7559740056904993,0.9309808589475301,0.7791203997135496,0.5769332946915906,0.6741558634618441,0.6661467713884298,0.0,0.6704556774286379,0.6693619535568883,0.9653631177055478,0.9747078132716199,0.8191725474297572,0.9956519590888878,0.8041985636492779,0.7793810067622188,0.9117694673789866,0.6864567628688348
muscle_ache,0.6787160260716425,0.7418566128501571,0.9503556028448228,0.8292608066546819,0.5830698654764119,0.5657850928620026,0.4723105689394987,0.6704556774286379,0.0,0.7593560335185287,0.973130816431485,0.9777172374752335,0.7931165010122793,0.996363922668938,0.7832643721768409,0.7244314381270903,0.9428395565483806,0.7393142801667646
nausea,0.812901553546907,0.8085398212025963,0.9253716191719237,0.7806008169001712,0.7162884276989959,0.7423007220647302,0.7453703377840969,0.6693619535568883,0.7593560335185287,0.0,0.9624078004185156,0.9702735553187978,0.8495127372200376,0.9945959453971824,0.8309514345595144,0.8162700009284763,0.8511993555701414,0.7856989048849514
nose_bleed,0.9765759581385107,0.9729917458700409,0.960716704636414,0.9625975527507467,0.9693526019998541,0.9730311352446966,0.9693163237498297,0.9653631177055478,0.973130816431485,0.9624078004185156,0.0,0.9678587596197374,0.9644057132913002,0.9908256880733946,0.963396421494012,0.9722147694222947,0.9634925623297717,0.9702245179767811
rash,0.9824983933057653,0.9783210817254315,0.9661736419712145,0.9720233204210197,0.976227061199403,0.9788586690742204,0.9755294117647059,0.9747078132716199,0.9777172374752335,0.9702735553187978,0.9678587596197374,0.0,0.9768248886975938,0.987381158167675,0.9729083665338646,0.9777979745520644,0.972217591820859,0.9768782556774898
runny_nose,0.8072422085468987,0.8623052959501558,0.9551697629724536,0.8682888629982619,0.7964656089604939,0.7737354575609965,0.7996237855448323,0.8191725474297572,0.7931165010122793,0.8495127372200376,0.9644057132913002,0.9768248886975938,0.0,0.9951590788258667,0.6385097493036211,0.7788433727603477,0.955271328377225,0.8226489792721395
seizures,0.9967828947368421,0.995495114675298,0.986410371032633,0.9948382799816842,0.9961671932459729,0.9964252949922495,0.9959310362815932,0.9956519590888878,0.996363922668938,0.9945959453971824,0.9908256880733946,0.987381158167675,0.9951590788258667,0.0,0.9952055723913339,0.9961615914375674,0.9910771191841937,0.9961697143640987
sneezing,0.8037900201269206,0.8590794669869056,0.9491744634012108,0.8583329975420075,0.7843267897054459,0.7673429120991165,0.7846173526065265,0.8041985636492779,0.7832643721768409,0.8309514345595144,0.963396421494012,0.9729083665338646,0.6385097493036211,0.9952055723913339,0.0,0.7756249507136661,0.9509229242474363,0.811082244655582
sore_throat,0.749114132887849,0.8183706597699885,0.953778038288029,0.8615333444204224,0.741816774280409,0.6944252287837103,0.7337266726225928,0.7793810067622188,0.7244314381270903,0.8162700009284763,0.9722147694222947,0.9777979745520644,0.7788433727603477,0.9961615914375674,0.7756249507136661,0.0,0.9497784493496416,0.8093565735761031
vomiting,0.9492064704160462,0.9292587253159889,0.9313126810786717,0.8924293374534218,0.9303107238683246,0.9427934712825324,0.9372682708338518,0.9117694673789866,0.9428395565483806,0.8511993555701414,0.9634925623297717,0.972217591820859,0.955271328377225,0.9910771191841937,0.9509229242474363,0.9497784493496416,0.0,0.9410764816852696
loss_of_smell_or_taste,0.7738303503341856,0.8043253192223628,0.946904876677111,0.8418602752031359,0.7114505619304095,0.7305296969635944,0.7453116745905969,0.6864567628688348,0.7393142801667646,0.7856989048849514,0.9702245179767811,0.9768782556774898,0.8226489792721395,0.9961697143640987,0.811082244655582,0.8093565735761031,0.9410764816852696,0.0
