,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.766098172879552,0.9824533753611768,0.9307000830524207,0.8146629917313957,0.7826025447918313,0.8948528291270558,0.8543033960269568,0.8608741419767978,0.9007510296374062,0.9793951392325927,0.9724204560092747,0.7923697019835697,0.997305445135128,0.8096785805030914,0.7804669073405536,0.9595043095289174,0.8716963523361331
fever,0.766098172879552,0.0,0.978357304237615,0.9214862805853958,0.7812765055131468,0.7352246490273613,0.8753879059876611,0.8154620504739281,0.8325884824776254,0.8729258070050736,0.9789095560121372,0.9698586577199294,0.8257126660965979,0.9965084286532311,0.8460781929125115,0.7989874896558439,0.9392517727169148,0.8781306244470882
altered_consciousness,0.9824533753611768,0.978357304237615,0.0,0.9701639992096424,0.9604852997241596,0.9721254836926478,0.9535863004725589,0.9576628601090059,0.9607671054770031,0.9517358930653987,0.9760127084988086,0.9789473684210527,0.9772072707852525,0.9891270580925753,0.970449232645594,0.9710468961370811,0.9726040752656723,0.9751467373953191
diarrhoea,0.9307000830524207,0.9214862805853958,0.9701639992096424,0.0,0.9019420876469214,0.9285723347838774,0.9202835840766875,0.8823062051431447,0.9213719504373926,0.8885713336213485,0.9675645272170489,0.9457314205079962,0.9127993309324276,0.9941132075471698,0.9012031969420554,0.9242982281505077,0.9143007637608639,0.9415021862612889
fatigue,0.8146629917313957,0.7812765055131468,0.9604852997241596,0.9019420876469214,0.0,0.7129766215189307,0.7928899082568808,0.7318922491000469,0.7469130487195825,0.814949577038159,0.9657112828709684,0.9590002567833604,0.7994481390587846,0.9954155642733328,0.7871420047732697,0.7529396411092986,0.9362747129771625,0.8236182981938446
headache,0.7826025447918313,0.7352246490273613,0.9721254836926478,0.9285723347838774,0.7129766215189307,0.0,0.8156134311878938,0.8073019436403379,0.755562415112977,0.8215102974828375,0.971310243022334,0.9733399392080985,0.7940965006451105,0.9969659434106694,0.7976951076019662,0.6926901512747276,0.9523526615969582,0.7984783435682843
joint_pain,0.8948528291270558,0.8753879059876611,0.9535863004725589,0.9202835840766875,0.7928899082568808,0.8156134311878938,0.0,0.8235520400067319,0.5699835815644424,0.8383262969174715,0.9643175338560228,0.9624268944334582,0.8846251306578823,0.9947373696872494,0.8574674612824141,0.8323435358611238,0.9489081962171305,0.8708065667380442
loss_of_appetite,0.8543033960269568,0.8154620504739281,0.9576628601090059,0.8823062051431447,0.7318922491000469,0.8073019436403379,0.8235520400067319,0.0,0.8094569859670531,0.7979442986784777,0.9626056625710964,0.9484359726295211,0.8222620393896224,0.9944362017804155,0.7992052695639722,0.812706198359172,0.914836370017255,0.8337886756369101
muscle_ache,0.8608741419767978,0.8325884824776254,0.9607671054770031,0.9213719504373926,0.7469130487195825,0.755562415112977,0.5699835815644424,0.8094569859670531,0.0,0.8309065288868013,0.9674743094183087,0.9656182081622796,0.8576036997916012,0.9953601788193857,0.8368265554396941,0.788016781880347,0.9488477951635846,0.8445978024959305
nausea,0.9007510296374062,0.8729258070050736,0.9517358930653987,0.8885713336213485,0.814949577038159,0.8215102974828375,0.8383262969174715,0.7979442986784777,0.8309065288868013,0.0,0.9635042735042735,0.9605945245423619,0.8827577577577578,0.9942218614201805,0.8555703802535023,0.8430709879003332,0.8523886639676114,0.8807196300334624
nose_bleed,0.9793951392325927,0.9789095560121372,0.9760127084988086,0.9675645272170489,0.9657112828709684,0.971310243022334,0.9643175338560228,0.9626056625710964,0.9674743094183087,0.9635042735042735,0.0,0.9727347514396522,0.970673213105467,0.99269717624148,0.9625648349996242,0.9704162812210916,0.9733033707865169,0.9729840458861522
rash,0.9724204560092747,0.9698586577199294,0.9789473684210527,0.9457314205079962,0.9590002567833604,0.9733399392080985,0.9624268944334582,0.9484359726295211,0.9656182081622796,0.9605945245423619,0.9727347514396522,0.0,0.9621951672172525,0.9929219600725953,0.9536378522374563,0.9688076047276539,0.9634924481059688,0.9749237467694242
runny_nose,0.7923697019835697,0.8257126660965979,0.9772072707852525,0.9127993309324276,0.7994481390587846,0.7940965006451105,0.8846251306578823,0.8222620393896224,0.8576036997916012,0.8827577577577578,0.970673213105467,0.9621951672172525,0.0,0.9954781246941372,0.6385768078075771,0.7668405588535109,0.9545235589017145,0.8496630710497323
seizures,0.997305445135128,0.9965084286532311,0.9891270580925753,0.9941132075471698,0.9954155642733328,0.9969659434106694,0.9947373696872494,0.9944362017804155,0.9953601788193857,0.9942218614201805,0.99269717624148,0.9929219600725953,0.9954781246941372,0.0,0.9951084812623274,0.9961151299422054,0.9912979531805368,0.9964872088583429
sneezing,0.8096785805030914,0.8460781929125115,0.970449232645594,0.9012031969420554,0.7871420047732697,0.7976951076019662,0.8574674612824141,0.7992052695639722,0.8368265554396941,0.8555703802535023,0.9625648349996242,0.9536378522374563,0.6385768078075771,0.9951084812623274,0.0,0.7686881578766794,0.947021247049021,0.8476807260597136
sore_throat,0.7804669073405536,0.7989874896558439,0.9710468961370811,0.9242982281505077,0.7529396411092986,0.6926901512747276,0.8323435358611238,0.812706198359172,0.788016781880347,0.8430709879003332,0.9704162812210916,0.9688076047276539,0.7668405588535109,0.9961151299422054,0.7686881578766794,0.0,0.9562520747069203,0.8234396025256184
vomiting,0.9595043095289174,0.9392517727169148,0.9726040752656723,0.9143007637608639,0.9362747129771625,0.9523526615969582,0.9489081962171305,0.914836370017255,0.9488477951635846,0.8523886639676114,0.9733033707865169,0.9634924481059688,0.9545235589017145,0.9912979531805368,0.947021247049021,0.9562520747069203,0.0,0.9652170060039436
loss_of_smell_or_taste,0.8716963523361331,0.8781306244470882,0.9751467373953191,0.9415021862612889,0.8236182981938446,0.7984783435682843,0.8708065667380442,0.8337886756369101,0.8445978024959305,0.8807196300334624,0.9729840458861522,0.9749237467694242,0.8496630710497323,0.9964872088583429,0.8476807260597136,0.8234396025256184,0.9652170060039436,0.0
