"","V1"
"cough",-0.0803258090904941
"fever",-0.121205930421038
"altered_consciousness",-0.306925973269748
"diarrhoea",-0.176194308858168
"fatigue",-0.321515427422111
"headache",-0.318900623535935
"joint_pain",-0.368513508421666
"loss_of_appetite",-0.276083695700032
"muscle_ache",-0.397749062632266
"nausea",-0.284595217713176
"nose_bleed",-0.16317816038384
"rash",-0.153992988992878
"runny_nose",-0.0952043297824693
"seizures",-0.0624154120235664
"sneezing",-0.135293749277034
"sore_throat",-0.140175076789255
"vomiting",-0.3051508915659
"loss_of_smell_or_taste",-0.0542672618438638
