"","V1","V2"
"cough",-0.0760018013964179,-0.0230426037779014
"fever",-0.0802693509396898,-0.20420785679978
"altered_consciousness",-0.252736293492819,-0.094262846098659
"diarrhoea",-0.166427704483483,-0.00816061314534613
"fatigue",-0.294834826800606,-0.0708334770462766
"headache",-0.34378537004517,0.0337058476903727
"joint_pain",-0.315275456791928,-0.345373522135219
"loss_of_appetite",-0.261264409925528,-0.045581843810767
"muscle_ache",-0.344117055554608,-0.445940913936033
"nausea",-0.269491685974133,-0.0242584403323324
"nose_bleed",-0.154253211093929,0.0575280319026067
"rash",-0.137301669389819,0.00491365274384836
"runny_nose",-0.275085988859859,0.611261552102361
"seizures",-0.0465616702929483,-0.0417619153587523
"sneezing",-0.336909155226808,0.467929406343751
"sore_throat",-0.180129995381708,0.105298446151231
"vomiting",-0.247048559371099,-0.0948816254241816
"loss_of_smell_or_taste",-0.0701219496728317,0.0639040162119
