,X1,X2
237392,10.75312715,-1.975231239
106390,1.338567115,5.96354629
304108,6.219519769,1.727290287
295846,10.62560409,-4.254871034
126055,6.057965221,-1.554260686
249732,8.63520588,0.914580224
199608,0.877118769,0.859171405
148452,-5.286243285,4.182911269
279106,11.84674365,-4.940686352
237360,0.172688917,5.165852651
229507,12.56820364,0.3837512
181238,-0.753719431,1.973910201
216904,-3.829389557,-7.191460771
164098,13.48162786,3.462346242
131974,4.736767078,-8.064975928
46301,8.988114107,-7.532892434
37000,4.417172105,-1.559273784
124049,8.883217428,0.412859937
30928,7.83354218,-2.85255726
166742,12.56820364,0.3837512
58890,11.79825326,1.87571512
59011,4.020744582,3.480208745
139698,10.19538662,1.910258318
295672,2.055981095,1.770212452
67287,11.80446641,-3.343829988
233641,12.35039534,-4.238539143
283488,11.38673554,4.597721348
139590,-4.158291563,4.941048612
137676,6.763723106,-0.315051317
256449,12.35039534,-4.238539143
214903,5.753794553,1.064699374
248851,5.508163441,-1.740683787
60030,-3.800550019,-2.185613713
215185,9.026040583,-7.493336138
86406,10.70726192,2.057125124
303701,12.84959252,0.507116372
30658,2.903507279,5.889446796
122498,10.75312715,-1.975231239
162620,13.76301674,3.585711414
237731,9.243848877,-2.871045795
102628,8.916594765,1.037945396
299946,0.989551633,0.821334898
55723,-2.031186217,1.735634821
195833,14.66309596,-0.751623906
37741,3.13514318,-1.415293478
14736,3.905093561,-2.907257399
107302,9.445900573,-2.798388861
152390,0.70653178,3.00831642
216467,1.768583296,-0.783605684
153671,11.75860119,0.688526375
4987,8.809494878,2.128880438
198064,13.76301674,3.585711414
172520,6.338429886,3.611096547
179738,5.563774427,1.79046429
119397,6.274875453,4.217509325
41891,14.66309596,-0.751623906
223096,6.931148262,-6.357961032
261203,1.246658256,-4.593635985
83911,10.25550302,-3.103164037
61091,1.308866994,0.984256366
111461,7.728645501,5.093195111
32739,-4.370213291,2.136495116
22096,5.241864751,0.453427343
32404,-3.091862101,5.889926165
233765,7.334439627,-4.140233632
52931,-3.855721552,1.386035157
282278,12.84959252,0.507116372
130398,8.106707453,-2.173911684
147090,10.02950001,7.437647707
170173,12.28437844,-2.997864544
167975,8.618582758,-2.027044878
65752,9.783868897,4.632264546
165155,14.15944427,-1.453771116
67474,-0.384242579,-3.99634258
148664,8.060842227,1.858444679
6600,1.027478109,0.860891194
114533,9.788122653,-5.166213571
246348,14.66309596,-0.751623906
229793,9.164511687,-2.921754033
297846,0.242437532,0.035378813
159204,8.988114107,-7.532892434
248011,1.0910587,-3.638033976
149473,11.78316306,-0.441761181
149917,8.591686583,-2.493409904
53790,-6.079802857,-5.300269663
27100,13.89314558,0.740340014
212541,11.6707302,-0.403924674
180746,11.82795338,6.855005044
269709,-1.399761438,-4.79231643
216861,10.25550302,-3.103164037
291245,3.969936741,6.83832435
95190,4.73210091,6.94818282
92248,13.89314558,0.740340014
288910,9.382319981,1.700536309
187552,5.772703485,-2.758758114
220672,-2.070263083,-3.451536424
12212,11.80446641,-3.343829988
256929,5.241864751,0.453427343
57824,7.439720431,-2.938085925
67362,4.78708758,2.082778739
157977,7.476766726,3.374114015
83372,6.528687549,0.246976212
195187,11.38673554,4.597721348
282489,14.66309596,-0.751623906
109286,8.840134848,-3.558880964
68485,-3.363664341,-6.528869858
258469,14.19737074,-1.41421482
47927,10.14457878,5.268373922
181414,6.496794263,-1.358034798
218217,14.66309596,-0.751623906
129611,3.77669032,1.08574645
148447,-2.578623764,-5.703357476
163047,1.717082104,-4.348920614
222502,6.805079322,-0.7683046
268751,14.66309596,-0.751623906
