"","V1"
"cough",-0.0349816396089841
"fever",-0.114267979237308
"altered_consciousness",-0.311722797949853
"diarrhoea",-0.175293764056185
"fatigue",-0.357627068442627
"headache",-0.230128848764205
"joint_pain",-0.416969387467309
"loss_of_appetite",-0.285406635300285
"muscle_ache",-0.360637554813493
"nausea",-0.288029789212078
"nose_bleed",-0.176749667579386
"rash",-0.135024295973246
"runny_nose",-0.0750888761186184
"seizures",-0.0628374153226239
"sneezing",-0.115072157377431
"sore_throat",-0.106418301238343
"vomiting",-0.336383346317383
"loss_of_smell_or_taste",-0.108828212092272
