"","V1","V2"
"cough",-0.0351736106594355,-0.0154206465076181
"fever",-0.0981300721515022,-0.103189047676247
"altered_consciousness",-0.262068434323448,-0.0331354393767991
"diarrhoea",-0.147357790785424,-0.11388013080211
"fatigue",-0.357328693067131,-0.324025760208727
"headache",-0.261861540083348,0.141921888264246
"joint_pain",-0.46221987004649,0.146239787963034
"loss_of_appetite",-0.289087576849496,-0.435864404564936
"muscle_ache",-0.398235457011643,0.164598138670466
"nausea",-0.239124037400902,-0.197956215570849
"nose_bleed",-0.185084440558379,0.0861035368056662
"rash",-0.142193986772441,0.0619307316366793
"runny_nose",-0.147683512587837,0.526746268498519
"seizures",-0.0766000704303831,0.0176026640555526
"sneezing",-0.206709310038265,0.424082350242104
"sore_throat",-0.131417408314458,0.17107484355698
"vomiting",-0.196517284845048,-0.253938685779123
"loss_of_smell_or_taste",-0.0933892626457422,-0.0982445106949255
