,X1,X2
106390,11.87736269,5.31628953
41964,12.16392568,-6.48793503
146313,4.943850123,5.455853256
33702,11.80924541,5.135609002
126055,17.55136437,0.451813431
120410,11.41558962,6.658600273
83023,14.08669626,-7.378347212
80756,16.84270507,0.739800795
85374,11.87736269,5.31628953
59944,4.971644397,7.270845918
148452,11.15737013,7.44848726
164319,15.55054126,0.550063725
49786,16.76302038,0.407031826
16962,17.55136437,0.451813431
118447,17.73153134,-1.130235445
162857,13.31569467,0.721216475
181238,13.8781858,5.218039236
164098,-8.967243313,1.801157671
49231,17.73153134,-1.130235445
121137,11.75750702,5.888816707
68280,6.617765684,-9.42848523
131974,13.61996632,6.007926223
46301,13.11981748,-6.300472861
37000,9.393979755,5.880091089
124049,13.8781858,5.218039236
109347,17.55136437,0.451813431
30928,13.37659048,-4.824324274
166742,-4.405236836,0.922548168
58890,14.16474879,-6.586185324
151446,7.928787979,-4.41195841
59011,-6.488515157,5.381140525
139698,9.492819031,7.549012455
33528,10.15529821,-1.822234421
67287,17.73153134,-1.130235445
114172,3.316300522,-1.790113302
144455,13.24092612,4.359146786
21344,17.47331185,-0.340348457
139590,13.80013328,4.425877347
133605,17.10092455,-0.050086192
137676,13.28357466,1.688667363
60030,13.66176783,-1.114415383
127295,10.79466434,1.583858807
98518,17.02287203,-0.842248081
86406,17.73153134,-1.130235445
41557,12.04407,-5.915407852
30658,13.82847678,-6.588460225
104710,13.37659048,-4.824324274
122498,5.511711954,1.298625786
64464,17.47331185,-0.340348457
162620,11.41558962,6.658600273
102628,12.83162232,5.963144618
37802,15.73070823,-1.03198515
80518,17.55136437,0.451813431
55723,17.55136437,0.451813431
130990,17.55136437,0.451813431
37741,4.283952907,-10.66007018
14736,13.8781858,5.218039236
107302,13.37659048,-4.824324274
152390,12.2804465,0.60969076
103827,11.16870339,5.604276894
159055,9.731755409,-11.07243604
49750,7.32642499,-9.716472594
102295,17.73153134,-1.130235445
153671,7.740867534,-10.36270439
4987,14.08669626,-7.378347212
172520,13.99671697,-0.470049661
179738,14.16474879,-6.586185324
119397,16.02517708,0.334978817
41891,13.45608948,-6.29819796
47993,8.814584004,-3.94571477
83911,15.2481484,-0.566433886
61091,17.10092455,-0.050086192
111461,11.80924541,5.135609002
67594,15.16682071,2.684536357
87481,11.23542266,8.240649148
32739,14.16474879,-6.586185324
22096,17.55136437,0.451813431
32404,7.022272995,-10.68619838
52931,17.73153134,-1.130235445
144982,6.300776786,8.400801378
20134,-8.967243313,1.801157671
130398,13.9065293,-5.796298337
147090,14.08669626,-7.378347212
176235,15.10010144,0.048164102
103175,7.45019277,9.011951815
170173,9.731755409,-11.07243604
149393,7.70635784,10.49295918
167975,10.68614356,6.069828158
65752,12.38034201,-5.913132951
165155,12.08587316,-7.280096918
67474,17.47331185,-0.340348457
148664,3.395026935,-4.160359802
6600,16.76465255,-0.052361093
114533,17.02287203,-0.842248081
35702,8.764876619,-9.99456169
88123,9.779367033,0.447586191
159204,8.154475102,-1.723984127
149473,17.55136437,0.451813431
149917,7.032062004,6.630818335
53790,9.315927234,5.0879292
27100,6.991045636,8.841904839
180746,13.10186886,-8.035098528
7565,2.963197566,1.859208531
29101,9.325862469,5.699410561
95190,4.118906552,2.719581237
64987,9.731755409,-11.07243604
175775,13.61996632,6.007926223
92248,1.316151306,-4.854271397
78425,7.039862007,2.087751965
26766,17.73153134,-1.130235445
120229,15.10010144,0.048164102
75580,1.603651218,11.57448042
12212,9.453045243,-3.646005644
57824,13.9065293,-5.796298337
143846,17.55136437,0.451813431
90837,16.56653697,-0.204937885
67362,10.0909015,8.260236251
157977,6.880481799,4.546560319
83372,12.16392568,-6.48793503
20345,17.10092455,-0.050086192
109286,17.47331185,-0.340348457
68485,15.80876075,-0.239823262
114263,15.40437146,-0.42277869
46458,13.19642352,-3.242275398
47927,4.682276213,8.820270768
181414,9.809807929,-10.28027415
167638,13.454643,-4.032162385
129611,4.999265111,-9.00901584
148447,14.00510151,-0.433298214
163047,17.73153134,-1.130235445
6607,5.784572949,1.290734915
174180,14.16474879,-6.586185324
144572,15.74064346,-0.420503789
7068,14.39468686,2.413861194
73083,17.73153134,-1.130235445
78203,-1.326611841,-1.831661484
108305,17.55136437,0.451813431
100696,10.79956081,7.972248887
155085,17.55136437,0.451813431
92841,14.11527404,-0.608587214
50843,12.66793118,-4.53633691
143439,12.9891058,0.321703396
71611,17.47331185,-0.340348457
158330,16.76465255,-0.052361093
118477,13.01982779,1.809944235
14150,5.528642934,8.130126216
27324,17.10092455,-0.050086192
116323,17.73153134,-1.130235445
158067,17.73153134,-1.130235445
6898,8.341035061,5.042659246
144175,3.852758576,10.07486178
27908,9.306244091,5.485167378
60970,12.86360473,1.66628904
104209,17.02287203,-0.842248081
123366,5.399286838,-7.414412283
98422,14.16474879,-6.586185324
167463,11.83758891,-5.87872857
41317,11.23542266,8.240649148
50854,8.798737699,8.070499181
62923,15.80876075,-0.239823262
44598,17.73153134,-1.130235445
124176,7.472712816,-10.18429876
37501,11.92647961,5.639162271
62611,15.10010144,0.048164102
74847,9.809807929,-10.28027415
102264,15.14093329,-1.108611939
24397,10.23335073,-1.030072532
135914,17.73153134,-1.130235445
177131,10.80174395,1.275121806
141365,1.352400674,-2.697420442
181099,7.186149833,1.6199258
87675,8.415017145,10.20497181
5503,17.73153134,-1.130235445
104590,15.2481484,-0.566433886
169899,10.6959257,4.005913879
116906,17.47331185,-0.340348457
71322,16.74670393,-1.78698676
152836,17.73153134,-1.130235445
147311,4.83558501,-1.89124812
60598,11.23542266,8.240649148
118415,10.14265571,-3.981456947
146741,5.602974876,-1.340863095
106472,14.16474879,-6.586185324
108503,9.446638905,-1.534247057
164776,7.662815014,-11.15486627
105599,13.61996632,6.007926223
159409,12.71318979,0.385684255
145716,13.454643,-4.032162385
141892,15.73070823,-1.03198515
63696,-6.189643613,1.595600541
133681,9.669413116,-3.260859718
122066,2.970098504,2.103572027
171202,7.087339996,-0.085346935
3894,13.19787,-5.508310973
109161,17.73153134,-1.130235445
156432,9.445192426,0.731788518
53483,17.73153134,-1.130235445
66329,15.73070823,-1.03198515
19769,-1.269146877,4.032788136
154556,13.61996632,6.007926223
171447,11.54109069,5.314014629
45670,-0.306897199,1.918835565
8010,11.13658338,6.571727782
76952,13.80013328,4.425877347
91042,17.55136437,0.451813431
79220,10.28338751,-2.303613984
91421,14.16474879,-6.586185324
24817,2.482794344,10.10168236
162800,14.16474879,-6.586185324
3270,12.17804619,2.910233582
61049,13.8781858,5.218039236
170332,1.830305721,0.980812705
105341,7.7309323,-10.97418575
36705,11.97477847,3.536325279
120820,2.769358964,4.055110339
77849,11.30543503,5.846310003
60757,5.978428558,-1.627196814
88886,11.67023622,-3.359110012
57982,8.223547374,7.510389195
118274,-9.8740182,1.936568244
45013,1.156651441,-6.712447002
160574,15.73070823,-1.03198515
98874,17.55136437,0.451813431
67719,4.54882529,-9.510915463
134304,17.02287203,-0.842248081
99094,9.524691425,-0.742085169
149728,5.847983959,1.300900687
178874,3.412301661,0.736674253
126766,17.55136437,0.451813431
58439,0.28115523,-3.957077573
62273,13.61996632,6.007926223
7228,17.55136437,0.451813431
84771,17.73153134,-1.130235445
152566,17.73153134,-1.130235445
67347,13.61996632,6.007926223
162977,11.13658338,6.571727782
33368,17.10092455,-0.050086192
5800,17.73153134,-1.130235445
166810,-4.089633568,-1.392604991
104769,10.77470898,-7.327641774
96076,6.538327534,5.293486331
138703,2.266174914,2.525722778
168318,14.16474879,-6.586185324
12251,7.974308138,-0.141935251
137587,1.291575208,10.85522099
137693,3.877586766,-4.625911067
65888,13.8781858,5.218039236
153590,12.18306528,-0.448984337
131873,14.16474879,-6.586185324
35463,4.604223692,8.02810888
118435,12.3464152,4.648859021
137547,5.602974876,-1.340863095
109085,1.255409704,2.169613963
48767,17.73153134,-1.130235445
105846,15.2481484,-0.566433886
168909,15.06798143,1.01561499
19694,13.5419138,5.215764335
56037,11.79931017,4.524127641
135798,13.61996632,6.007926223
33472,17.47331185,-0.340348457
145762,8.540518215,8.860386169
89275,15.16682071,2.684536357
3705,14.16474879,-6.586185324
150077,-1.719667878,-3.858827279
45127,14.16474879,-6.586185324
1956,6.889580419,8.685341192
142000,-1.250615373,-4.526257787
75095,14.16474879,-6.586185324
148409,7.963695721,8.759669102
122202,12.92098852,0.141022869
122647,15.80876075,-0.239823262
84260,17.55136437,0.451813431
37333,6.572731254,-0.471126135
94331,9.946786111,5.016499487
93084,10.94083415,2.556701222
12821,15.06798143,1.01561499
109680,15.03198416,-0.132516425
160003,9.384296612,6.277329266
24481,7.894081546,-2.98018675
26134,13.8781858,5.218039236
95538,13.5419138,5.215764335
52641,7.264202354,2.412087688
44266,4.087034157,11.01067886
40863,13.80013328,4.425877347
169401,9.809807929,-10.28027415
143431,17.73153134,-1.130235445
127287,17.09427165,-1.989127894
129548,13.28357466,1.688667363
173334,7.531520457,5.760981573
2504,17.10092455,-0.050086192
91898,11.79931017,4.524127641
158230,17.55136437,0.451813431
60168,15.32620092,0.225728003
129888,8.800152332,3.763747376
100371,9.730369779,4.441697408
124841,17.47331185,-0.340348457
19728,0.932430752,-2.719798765
136708,17.73153134,-1.130235445
103393,6.34607675,10.12254158
82023,17.10092455,-0.050086192
35471,12.9891058,0.321703396
60977,-3.032966098,-0.366447223
68109,13.61996632,6.007926223
1017,6.703404312,0.278834409
24753,11.75953639,-6.670890458
41483,10.50597496,1.894224493
56979,10.81332633,-3.275588047
157911,7.770754547,0.410488505
160657,4.989612608,8.353256522
67264,17.10092455,-0.050086192
82319,13.80013328,4.425877347
150475,13.454643,-4.032162385
30890,17.10092455,-0.050086192
145923,4.084933481,3.017491783
5242,1.154597027,-4.441552653
