"","V1"
"cough",0.0283538650245282
"fever",-0.0621378000056738
"altered_consciousness",-0.272846597418445
"diarrhoea",-0.095791048016351
"fatigue",-0.300380839084369
"headache",-0.554503942698619
"joint_pain",-0.386937884292658
"loss_of_appetite",-0.227286307326036
"muscle_ache",-0.333550436483997
"nausea",-0.232425482779587
"nose_bleed",-0.127017667545944
"rash",-0.065827946642059
"runny_nose",-0.103232596848211
"seizures",-0.142386275812445
"sneezing",-0.167623847332997
"sore_throat",-0.221108044439875
"vomiting",-0.103235798830373
"loss_of_smell_or_taste",-0.0911659002864833
