"","V1","V2"
"cough",-0.00780525204886786,-0.0792161888319936
"fever",-0.0258219484210201,0.0789886987320664
"altered_consciousness",-0.366061947720071,0.0558946397204306
"diarrhoea",-0.0984827407737918,-0.0656751315611934
"fatigue",-0.248338293941393,0.0563801558853171
"headache",-0.393139805456469,0.555611279173616
"joint_pain",-0.307862499466418,0.275420965150294
"loss_of_appetite",-0.206894039473593,-0.00824302330844576
"muscle_ache",-0.238454366304726,0.223272292552573
"nausea",-0.178440677683439,0.0673052372784974
"nose_bleed",-0.110338447343058,-0.0518213762621385
"rash",-0.063725968355851,-0.0858892449212011
"runny_nose",-0.364483507193381,-0.624811176788886
"seizures",-0.151811055390784,-0.000255893725164213
"sneezing",-0.435494085607504,-0.369408882896305
"sore_throat",-0.200082310871617,0.00982502941873738
"vomiting",-0.0788343995112421,-0.00447816052612807
"loss_of_smell_or_taste",-0.0708659305372578,0.0287987363837009
