,tested_at_week,mean_age,std_age,count
0,1,63.47597486144101,8.053250756335173,40416
1,2,63.25875044797515,7.8958822640572714,33484
2,3,63.18974169134584,7.741918423442253,24312
3,4,63.14982973893303,7.820835754874118,17620
4,5,63.1027105284324,7.679291120822242,12433
5,6,62.64071856287425,7.24650978107341,9352
6,7,62.356367863601136,7.029472539492616,7742
7,8,62.16404693380562,7.026954324106889,4517
8,9,61.77255756067206,6.789135137985809,3214
9,10,61.98315467075038,7.133869533800192,2612
10,11,62.11639058413252,7.139196783130332,2294
11,12,61.53201506591337,6.861248494457444,1062
13,48,63.41984732824427,7.861914348577074,655
14,49,63.22579721214436,7.784276297187301,10474
15,50,63.11926445849527,7.6040898929287435,17239
16,51,63.3102553648864,7.652724366367563,26981
17,52,63.57127280161741,7.758405668011049,44021
18,53,63.65003816715149,7.8685935031853615,48471
