,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,50212.0,21279.0,3095.0,8686.0,24118.0,24948.0,17524.0,17081.0,22047.0,11659.0,1481.0,1228.0,13348.0,360.0,12528.0,16982.0,4213.0,16253.0
fever,21279.0,38942.0,3287.0,7663.0,19985.0,19990.0,15079.0,14989.0,18462.0,10369.0,1226.0,1122.0,8744.0,359.0,8084.0,11961.0,4223.0,12670.0
altered_consciousness,3095.0,3287.0,5987.0,2054.0,4594.0,3226.0,2959.0,3685.0,3271.0,2602.0,400.0,323.0,1660.0,210.0,1517.0,2022.0,1237.0,2420.0
diarrhoea,8686.0,7663.0,2054.0,16701.0,10833.0,9557.0,7594.0,9058.0,8842.0,7083.0,875.0,748.0,5044.0,217.0,4771.0,5973.0,3240.0,6589.0
fatigue,24118.0,19985.0,4594.0,10833.0,49130.0,29302.0,22761.0,23632.0,27571.0,15740.0,1843.0,1607.0,14674.0,476.0,13896.0,17897.0,5233.0,18684.0
headache,24948.0,19990.0,3226.0,9557.0,29302.0,53657.0,24063.0,20314.0,30259.0,15727.0,1794.0,1528.0,17931.0,384.0,16919.0,22146.0,4597.0,20254.0
joint_pain,17524.0,15079.0,2959.0,7594.0,22761.0,24063.0,34270.0,16395.0,27026.0,11835.0,1348.0,1239.0,11254.0,324.0,10977.0,14587.0,3653.0,14170.0
loss_of_appetite,17081.0,14989.0,3685.0,9058.0,23632.0,20314.0,16395.0,33362.0,19189.0,13813.0,1538.0,1271.0,10227.0,395.0,9855.0,12657.0,4851.0,14969.0
muscle_ache,22047.0,18462.0,3271.0,8842.0,27571.0,30259.0,27026.0,19189.0,45201.0,13808.0,1573.0,1405.0,14717.0,353.0,14010.0,18589.0,4136.0,17429.0
nausea,11659.0,10369.0,2602.0,7083.0,15740.0,15727.0,11835.0,13813.0,13808.0,22697.0,1198.0,951.0,7310.0,299.0,7155.0,9482.0,5359.0,9813.0
nose_bleed,1481.0,1226.0,400.0,875.0,1843.0,1794.0,1348.0,1538.0,1573.0,1198.0,2728.0,221.0,1205.0,79.0,1060.0,1161.0,465.0,1212.0
rash,1228.0,1122.0,323.0,748.0,1607.0,1528.0,1239.0,1271.0,1405.0,951.0,221.0,2475.0,912.0,54.0,931.0,1034.0,396.0,1038.0
runny_nose,13348.0,8744.0,1660.0,5044.0,14674.0,17931.0,11254.0,10227.0,14717.0,7310.0,1205.0,912.0,29513.0,225.0,16156.0,13491.0,2117.0,11399.0
seizures,360.0,359.0,210.0,217.0,476.0,384.0,324.0,395.0,353.0,299.0,79.0,54.0,225.0,727.0,206.0,264.0,161.0,257.0
sneezing,12528.0,8084.0,1517.0,4771.0,13896.0,16919.0,10977.0,9855.0,14010.0,7155.0,1060.0,931.0,16156.0,206.0,25421.0,12641.0,1935.0,10836.0
sore_throat,16982.0,11961.0,2022.0,5973.0,17897.0,22146.0,14587.0,12657.0,18589.0,9482.0,1161.0,1034.0,13491.0,264.0,12641.0,33429.0,2725.0,12476.0
vomiting,4213.0,4223.0,1237.0,3240.0,5233.0,4597.0,3653.0,4851.0,4136.0,5359.0,465.0,396.0,2117.0,161.0,1935.0,2725.0,7833.0,3059.0
loss_of_smell_or_taste,16253.0,12670.0,2420.0,6589.0,18684.0,20254.0,14170.0,14969.0,17429.0,9813.0,1212.0,1038.0,11399.0,257.0,10836.0,12476.0,3059.0,34264.0
