,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.6865082288458988,0.941712649955743,0.8508054820870401,0.6793395900353602,0.683885109024795,0.7382680646413956,0.7430402021386996,0.6994506468190679,0.8096202200960063,0.9712575548516237,0.9761354140350196,0.7989515230032238,0.992902052275693,0.8014484485436277,0.7451883410089858,0.9217208775286534,0.8272223977580262,0.7617379322476143
fever,0.6865082288458988,0.0,0.9211000360273808,0.8402984763532526,0.7064301031048967,0.7246522517559565,0.740511338219607,0.7384400628162624,0.7189103588993955,0.797752808988764,0.9697314407240715,0.9721512075256273,0.8535780676927199,0.9908917440529195,0.8563635071258485,0.8019698725376593,0.9007520564042303,0.8407465932381056,0.7907587596848
altered_consciousness,0.941712649955743,0.9211000360273808,0.0,0.9005476663597151,0.909119696010133,0.942899675687171,0.9207089802375781,0.8967586361597129,0.931812489564201,0.9003834355828221,0.9519797809604044,0.9602901401524465,0.9509766259862297,0.9678461538461538,0.9492756047779971,0.9460442234164862,0.9017722323770166,0.9427183717523707,0.9361336540749161
diarrhoea,0.8508054820870401,0.8402984763532526,0.9005476663597151,0.0,0.803057848234738,0.8428219042920573,0.8249221902017291,0.7791108835076939,0.8333019187997135,0.7807693497972952,0.9529481513420287,0.959409594095941,0.8774712197017536,0.9874506158494074,0.8722658027897513,0.8648085674825096,0.8477648384673178,0.8951875758931425,0.8515672533068932
fatigue,0.6793395900353602,0.7064301031048967,0.909119696010133,0.803057848234738,0.0,0.6012626365702002,0.6247856483313547,0.5985832951128778,0.5870678808938949,0.7194808899030234,0.9631954579076788,0.9678832116788321,0.7706662915553055,0.9903822790961367,0.7709641791536851,0.723262466177039,0.8988171170126407,0.8059210992279906,0.7112879548790852
headache,0.683885109024795,0.7246522517559565,0.942899675687171,0.8428219042920573,0.6012626365702002,0.0,0.6233365688699627,0.6954325373626539,0.5589890097076058,0.7407486807387863,0.9671599692296421,0.9720396242652848,0.7251256743501716,0.9929085893091892,0.727845963292422,0.6588963478475087,0.9191972444819345,0.8185022612396914,0.700731437015146
joint_pain,0.7382680646413956,0.740511338219607,0.9207089802375781,0.8249221902017291,0.6247856483313547,0.6233365688699627,0.0,0.6801069497843439,0.48486061854097545,0.7378799964548436,0.9622398025023846,0.9651297073486748,0.7858529714089922,0.9906835881165272,0.7747213269558434,0.7253746517057007,0.9049080552448826,0.8509433962264151,0.7394183543954528
loss_of_appetite,0.7430402021386996,0.7384400628162624,0.8967586361597129,0.7791108835076939,0.5985832951128778,0.6954325373626539,0.6801069497843439,0.0,0.6768564835868156,0.6730578042891635,0.9555754927213267,0.963259756415078,0.8057206890657348,0.9883068704555572,0.7985570339485356,0.7661574835146567,0.8664777417047268,0.8328336853580433,0.7158672287417872
muscle_ache,0.6994506468190679,0.7189103588993955,0.931812489564201,0.8333019187997135,0.5870678808938949,0.5589890097076058,0.48486061854097545,0.6768564835868156,0.0,0.7448279687182237,0.9661057173678533,0.9696537414083777,0.7547210693868027,0.9922756199253895,0.7526539840672637,0.6904270201851975,0.9153901216893343,0.8264203300715642,0.7190185235938029
nausea,0.8096202200960063,0.797752808988764,0.9003834355828221,0.7807693497972952,0.7194808899030234,0.7407486807387863,0.7378799964548436,0.6730578042891635,0.7448279687182237,0.0,0.9505841555546382,0.9607745984557579,0.8371492204899778,0.987112398910176,0.8253747375616425,0.7967631296891747,0.787056533312145,0.869994921676628,0.7919273760790718
nose_bleed,0.9712575548516237,0.9697314407240715,0.9519797809604044,0.9529481513420287,0.9631954579076788,0.9671599692296421,0.9622398025023846,0.9555754927213267,0.9661057173678533,0.9505841555546382,0.0,0.9556046605062274,0.9611753713309921,0.9768751852949896,0.9609023111570553,0.9668876064224902,0.9539421553090333,0.9770757391656542,0.9662082844205937
rash,0.9761354140350196,0.9721512075256273,0.9602901401524465,0.959409594095941,0.9678832116788321,0.9720396242652848,0.9651297073486748,0.963259756415078,0.9696537414083777,0.9607745984557579,0.9556046605062274,0.0,0.9706554264937739,0.9828353464717101,0.9655095683133066,0.9703521045991513,0.9600564857776881,0.9769193127446716,0.9709515672707919
runny_nose,0.7989515230032238,0.8535780676927199,0.9509766259862297,0.8774712197017536,0.7706662915553055,0.7251256743501716,0.7858529714089922,0.8057206890657348,0.7547210693868027,0.8371492204899778,0.9611753713309921,0.9706554264937739,0.0,0.992504497301619,0.5834042443464583,0.7271936918722199,0.9399194006130094,0.8716678297278437,0.7822857797464488
seizures,0.992902052275693,0.9908917440529195,0.9678461538461538,0.9874506158494074,0.9903822790961367,0.9929085893091892,0.9906835881165272,0.9883068704555572,0.9922756199253895,0.987112398910176,0.9768751852949896,0.9828353464717101,0.992504497301619,0.0,0.9920974519101037,0.9922416590459896,0.9808356148077609,0.9933234213257778,0.9926292755959921
sneezing,0.8014484485436277,0.8563635071258485,0.9492756047779971,0.8722658027897513,0.7709641791536851,0.727845963292422,0.7747213269558434,0.7985570339485356,0.7526539840672637,0.8253747375616425,0.9609023111570553,0.9655095683133066,0.5834042443464583,0.9920974519101037,0.0,0.7265016444521378,0.9381864623243934,0.8758350653206651,0.778084884220871
sore_throat,0.7451883410089858,0.8019698725376593,0.9460442234164862,0.8648085674825096,0.723262466177039,0.6588963478475087,0.7253746517057007,0.7661574835146567,0.6904270201851975,0.7967631296891747,0.9668876064224902,0.9703521045991513,0.7271936918722199,0.9922416590459896,0.7265016444521378,0.0,0.9292793026513776,0.8594493033154866,0.7741199478487614
vomiting,0.9217208775286534,0.9007520564042303,0.9017722323770166,0.8477648384673178,0.8988171170126407,0.9191972444819345,0.9049080552448826,0.8664777417047268,0.9153901216893343,0.787056533312145,0.9539421553090333,0.9600564857776881,0.9399194006130094,0.9808356148077609,0.9381864623243934,0.9292793026513776,0.0,0.9391808536886257,0.9215872121320798
other_symptoms,0.8272223977580262,0.8407465932381056,0.9427183717523707,0.8951875758931425,0.8059210992279906,0.8185022612396914,0.8509433962264151,0.8328336853580433,0.8264203300715642,0.869994921676628,0.9770757391656542,0.9769193127446716,0.8716678297278437,0.9933234213257778,0.8758350653206651,0.8594493033154866,0.9391808536886257,0.0,0.858845382516356
loss_of_smell_or_taste,0.7617379322476143,0.7907587596848,0.9361336540749161,0.8515672533068932,0.7112879548790852,0.700731437015146,0.7394183543954528,0.7158672287417872,0.7190185235938029,0.7919273760790718,0.9662082844205937,0.9709515672707919,0.7822857797464488,0.9926292755959921,0.778084884220871,0.7741199478487614,0.9215872121320798,0.858845382516356,0.0
