,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.6864972375690608,0.9417181379933715,0.8508252185412266,0.6793842390726363,0.6838864180636333,0.7382837002299949,0.74311581670251,0.6994929531390562,0.8096489795918367,0.9712198060591928,0.9761363415534697,0.7989062476460219,0.9928824215583543,0.8014737342524364,0.7452407026808083,0.921737999702779,0.7617665596646293
fever,0.6864972375690608,0.0,0.921065270640219,0.8402876198416007,0.7064784760673843,0.7246897767494388,0.7406120447938348,0.7384803280118643,0.7189141456433368,0.7977569728886288,0.9696864800712096,0.9721553542623155,0.8535613203597328,0.990867463749682,0.8563584996179747,0.8020029796391326,0.9007567211881933,0.7907030527289547
altered_consciousness,0.9417181379933715,0.921065270640219,0.0,0.9004555587864689,0.9090711161253291,0.9428196674820093,0.9206659874524104,0.8966745177209511,0.9317361270530292,0.9002377118319147,0.9518941671677691,0.9603145349551542,0.9509456264775413,0.9677121771217713,0.9492489378073667,0.9459271540888913,0.9016927600731145,0.9360312970844017
diarrhoea,0.8508252185412266,0.8402876198416007,0.9004555587864689,0.0,0.8030292010618568,0.8428150852782027,0.8249302625815524,0.7791001097427143,0.8333584621183566,0.780813863530868,0.9528403578743129,0.959409594095941,0.8774836045664318,0.9873917843239789,0.8722658027897513,0.864732658468646,0.8478444632290786,0.8515188390120786
fatigue,0.6793842390726363,0.7064784760673843,0.9090711161253291,0.8030292010618568,0.0,0.6012519561815336,0.6246475040815317,0.5985049269452939,0.5870131815458358,0.7193645586321251,0.963151054683595,0.967858714348574,0.7706076380746925,0.9903606650331099,0.7709009974445635,0.7232222943923788,0.8988401314517688,0.7112656467315717
headache,0.6838864180636333,0.7246897767494388,0.9428196674820093,0.8428150852782027,0.6012519561815336,0.0,0.6232149567831642,0.6954651075631512,0.5589002755142203,0.7405941247299058,0.9671374402374018,0.9720167020731082,0.7251490672757093,0.9928888888888889,0.7278109364693769,0.6589775177086541,0.9191991984954212,0.7006812774321308
joint_pain,0.7382837002299949,0.7406120447938348,0.9206659874524104,0.8249302625815524,0.6246475040815317,0.6232149567831642,0.0,0.6800163944024826,0.4846791877204691,0.7377692103164052,0.96218793828892,0.9651044893820763,0.7857564393001961,0.9906555533123756,0.7746643675329474,0.7253539689712306,0.9049934980494149,0.7393495695680965
loss_of_appetite,0.74311581670251,0.7384803280118643,0.8966745177209511,0.7791001097427143,0.5985049269452939,0.6954651075631512,0.6800163944024826,0.0,0.676811398928824,0.6730341334090801,0.9554873813382727,0.9632297633512701,0.805747606746695,0.988276844542055,0.7985815892740353,0.7661913030627702,0.8665254237288136,0.7157263041950738
muscle_ache,0.6994929531390562,0.7189141456433368,0.9317361270530292,0.8333584621183566,0.5870131815458358,0.5589002755142203,0.4846791877204691,0.676811398928824,0.0,0.7447217600295803,0.9660669600483217,0.9696354087873614,0.754704401886761,0.9922545255074053,0.7525259662262418,0.690394896820506,0.915415763425907,0.7190502288993488
nausea,0.8096489795918367,0.7977569728886288,0.9002377118319147,0.780813863530868,0.7193645586321251,0.7405941247299058,0.7377692103164052,0.6730341334090801,0.7447217600295803,0.0,0.9505510380979898,0.9607365509268816,0.8371937639198218,0.9870702702702703,0.8253301760124991,0.796715547551668,0.7870962615708553,0.7918681598371087
nose_bleed,0.9712198060591928,0.9696864800712096,0.9518941671677691,0.9528403578743129,0.963151054683595,0.9671374402374018,0.96218793828892,0.9554873813382727,0.9660669600483217,0.9505510380979898,0.0,0.9556403050983541,0.9611741203763372,0.9765995260663507,0.9608697257189265,0.9668247799748543,0.9539421553090333,0.9661263275572946
rash,0.9761363415534697,0.9721553542623155,0.9603145349551542,0.959409594095941,0.967858714348574,0.9720167020731082,0.9651044893820763,0.9632297633512701,0.9696354087873614,0.9607365509268816,0.9556403050983541,0.0,0.9706525936413953,0.9828462515883101,0.9654737622844428,0.9703470031545741,0.9600484261501211,0.9709251841685107
runny_nose,0.7989062476460219,0.8535613203597328,0.9509456264775413,0.8774836045664318,0.7706076380746925,0.7251490672757093,0.7857564393001961,0.805747606746695,0.754704401886761,0.8371937639198218,0.9611741203763372,0.9706525936413953,0.0,0.992503748125937,0.5833720150600856,0.7271844856524641,0.9399074626018337,0.7823704608805223
