,X1,X2
106320,11.87458877,-0.657729473
106390,-6.329001562,7.831233679
41964,13.04617213,4.018472335
15241,-1.114439437,5.053615459
33702,13.51918117,2.955366833
101252,0.884424131,-8.80746889
83023,5.210436215,5.018653851
80756,9.60910868,4.369086651
85374,12.95718631,-4.978985846
68158,7.303288838,2.060379814
59944,11.71474395,-6.953686198
68536,11.62745768,-5.844915492
17380,6.864494342,-9.012238966
33247,14.6523089,0.502343815
49786,15.12531793,-0.560761687
16962,14.16481767,-0.176280757
107899,10.04879428,1.983644958
106288,-0.242586625,9.129002194
98435,1.393376076,1.500435855
31785,4.381721895,-4.434385026
50166,3.168754858,1.26996701
85832,15.12531793,-0.560761687
98602,-0.633708215,-2.281837395
33026,6.48882721,-0.554101759
49231,5.126653454,-0.675369166
68280,14.40517781,-4.684842205
902,3.710356207,-1.030553098
46301,12.83508904,-1.042210403
98865,10.40078007,4.934802937
37000,12.87060055,-1.357201889
51323,12.76574585,0.878826151
99562,3.386723632,9.745712357
70127,15.12531793,-0.560761687
109347,-4.589814173,1.360721769
30928,2.875104154,7.352772579
35670,-3.193755951,4.028154201
58890,1.922210648,-0.249174931
20374,0.10423991,-1.110107201
59011,11.20375636,-1.429858402
8626,12.40836636,0.544057119
33528,11.20518719,-0.271590858
67287,12.95958638,7.640256291
102569,4.63916222,-1.353993738
13383,13.35809179,-0.678577317
21344,4.739948626,4.409189635
8518,7.770580529,7.389657124
2533,11.200735,-4.258647969
6604,5.654162537,3.501546684
73520,2.410636166,1.606608787
83831,13.91768657,-5.363466776
60030,8.784846548,-1.096895114
84113,3.698250325,-4.638012629
98518,8.041210058,0.981476737
86406,1.862666284,5.826774156
41557,6.610924481,-4.490877202
93261,10.87627552,-4.273712854
30658,12.39759152,-0.294096387
104710,9.001708253,5.989909845
64464,5.823082648,0.529428029
31548,6.497695002,9.526239469
106659,4.409670448,-6.649780282
102628,15.12531793,-0.560761687
37802,0.227088055,-5.730504592
80518,5.257699486,0.84564552
55723,11.64710031,5.073579243
64761,13.91768657,-5.363466776
101917,-2.104554283,-0.352191614
37741,6.374302663,7.625627201
14736,13.25323708,1.557450722
107302,8.937374159,-3.671143962
70302,15.12531793,-0.560761687
21318,10.42427851,-6.660563469
103827,15.12531793,-0.560761687
27983,-4.444257694,7.993342556
49750,12.83508904,-1.042210403
102295,12.52773151,3.41963518
85395,9.815064882,1.822536991
22599,0.244904609,9.807626766
