"","V1"
"cough",-0.054130779138392
"fever",-0.0776171520974208
"altered_consciousness",-0.185157630046651
"diarrhoea",-0.152987617489737
"fatigue",-0.300864819425734
"headache",-0.274216240315743
"joint_pain",-0.415605071844415
"loss_of_appetite",-0.256700845769289
"muscle_ache",-0.431657869715928
"nausea",-0.256145739789198
"nose_bleed",-0.28310357347566
"rash",-0.235274828668107
"runny_nose",-0.10435727845451
"seizures",-0.181450785366219
"sneezing",-0.14433706197413
"sore_throat",-0.148653149171416
"vomiting",-0.198013922227028
"loss_of_smell_or_taste",-0.124993871404154
