"","V1","V2"
"cough",-0.0609364042218841,-0.0848280714623109
"fever",-0.150953919928481,-0.600338136100756
"altered_consciousness",-0.169092461442559,-0.152126810817853
"diarrhoea",-0.150397396375817,-0.101955997142323
"fatigue",-0.347215016078498,-0.14500916092435
"headache",-0.294946510838702,0.179948479782591
"joint_pain",-0.392727377899788,0.00773930111492835
"loss_of_appetite",-0.275880559476935,-0.141832626310675
"muscle_ache",-0.400555350762456,0.0532742794001536
"nausea",-0.254748954099149,-0.0880615739308955
"nose_bleed",-0.25345200552998,0.0566890901152168
"rash",-0.214461378181139,0.0335074427903483
"runny_nose",-0.13088575280956,0.500783110889415
"seizures",-0.136824423989777,-0.0216212439282973
"sneezing",-0.200767096062348,0.439516065017631
"sore_throat",-0.15389096548003,0.174968409923055
"vomiting",-0.185906835548654,-0.181649502077716
"loss_of_smell_or_taste",-0.120062533132177,0.0480601163252148
