,tested_at_week,mean_age,std_age,count
0,1,47.90380139643134,20.44964775197626,14182
1,2,48.31165026665665,20.319429223149974,13313
2,3,48.59101772555268,21.018455024768333,10044
3,4,50.3827529517262,21.486439460069853,6694
4,5,50.43971924029727,21.598591458891175,4844
5,6,50.1270732329676,21.72333295968839,3920
6,7,50.90622788393489,21.70352241212326,2828
7,8,50.28341013824885,22.343952140128092,1737
8,9,48.71603053435115,22.15085378538549,1310
9,10,46.318908748824086,21.844702907930188,1064
10,11,43.95297805642633,21.745987077803846,958
11,12,43.51960784313726,22.237374914523496,408
12,48,47.652727272727276,21.682284027192953,550
13,49,46.915332563129226,20.62895795973717,6062
14,50,46.41392839627268,20.176585788214584,8160
15,51,45.99106375665922,19.90357668673821,11649
16,52,47.99748151758875,20.11773705770514,12312
17,53,47.35472107999069,20.195748716843422,12890
